"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.1
1952,0.43
1953,0.6
1954,2.01
1955,-0.5
1956,0.48
1957,0.28
1958,0.54
1959,1.08
1960,0.31
1961,-0.42
1962,-0.04
1963,-0.14
1964,1.4
1965,0.24
1966,-0.62
1967,0.13
1968,0.18
1969,1.75
1970,0.68
1971,-0.44
1972,0.38
1973,0.36
1974,0.04
1975,-0.59
1976,-0.18
1977,-0.27
1978,1.19
1979,1.24
1980,0.25
1981,1.55
1982,0.73
1983,-0.27
1984,0.2
1985,0.03
1986,-0.68
1987,0.36
1988,0.57
1989,0.11
1990,-0.2
1991,0.39
1992,1.1
1993,0.59
1994,0.53
1995,-0.55
1996,-0.93
1997,-0.26
1998,0.67
1999,-0.78
2000,-1.45
2001,-1.67
2002,0.28
2003,1.18
2004,-0.24
2005,-0.09
2006,-1.23
2007,-1.18
2008,-1.97
2009,-0.82
2010,-1.03
2011,-1.98
2012,-0.72
2013,-1.41
2014,-0.6
2015,-0.82
2016,-0.67
2017,-0.33
2018,-1.61
2019,-0.7
2020,-1.28
2021,-1.88
2022,-1.6
2023,-2.42
2024,-1.28
