"Category","Average Largest 1-Day Precipitation (mm)"
1950,10.29
1951,8.93
1952,13.32
1953,14.66
1954,20.13
1955,8.33
1956,15.03
1957,11.2
1958,10.66
1959,12.54
1960,8.18
1961,16.22
1962,14.03
1963,13.69
1964,18.02
1965,11.07
1966,8.64
1967,11.45
1968,11.22
1969,19.36
1970,13.4
1971,7.16
1972,13.02
1973,11.9
1974,12.09
1975,10.33
1976,15.17
1977,8.57
1978,15.03
1979,14.45
1980,13.97
1981,17.59
1982,11.72
1983,12.09
1984,15.58
1985,13.35
1986,10.5
1987,11.08
1988,13.8
1989,9.96
1990,8.66
1991,20.49
1992,12.3
1993,11.36
1994,14.91
1995,7.07
1996,10.56
1997,13.74
1998,12.25
1999,10.91
2000,7.8
2001,8.11
2002,19.78
2003,13.6
2004,14.24
2005,14.33
2006,8.52
2007,12.76
2008,5.88
2009,12.81
2010,13.43
2011,14.93
2012,10.62
2013,14.38
2014,16.68
2015,13.99
2016,11.4
2017,9.54
2018,11.66
2019,9.91
2020,21.56
2021,13.71
2022,15.16
2023,8.38
2024,12.51
