"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,16.38
1951,17.06
1952,23.22
1953,23.03
1954,35.16
1955,14.68
1956,25.2
1957,20.06
1958,17.56
1959,22.74
1960,12.68
1961,27.77
1962,17.04
1963,20.95
1964,26.9
1965,18.76
1966,16.24
1967,19.7
1968,18.82
1969,33.76
1970,21.63
1971,12.13
1972,23.33
1973,17.77
1974,19.5
1975,19.8
1976,24.31
1977,15.06
1978,25.25
1979,25.31
1980,17.03
1981,29.12
1982,17.28
1983,17.88
1984,27.21
1985,20.04
1986,20.93
1987,20.17
1988,24.21
1989,24.55
1990,15.27
1991,34.91
1992,23.34
1993,21.92
1994,22.19
1995,13.13
1996,15.54
1997,29.58
1998,23.27
1999,14.69
2000,14.51
2001,12.59
2002,34.24
2003,24.95
2004,23.31
2005,25.29
2006,14.63
2007,24.64
2008,11.16
2009,18.02
2010,20.76
2011,28.41
2012,17.96
2013,21.97
2014,24.33
2015,27.62
2016,16.28
2017,20.06
2018,19.23
2019,17.96
2020,31.01
2021,21.52
2022,28.75
2023,13.67
2024,19.02
