"Category","Precipitation amount during wettest days (mm)"
1950,3.76
1951,2.17
1952,3.25
1953,5.98
1954,15.9
1955,0.66
1956,4.73
1957,1.05
1958,0.8
1959,4.51
1960,1.21
1961,7.71
1962,4.99
1963,4.19
1964,9.83
1965,2.75
1966,0.13
1967,1.01
1968,0.26
1969,6.44
1970,5.05
1971,0
1972,4.02
1973,1.01
1974,1.88
1975,2.46
1976,6.84
1977,0.05
1978,9.65
1979,4.02
1980,3.24
1981,7.62
1982,7.22
1983,1.67
1984,7.64
1985,5
1986,1.03
1987,3.65
1988,6.02
1989,0.22
1990,0.48
1991,12.04
1992,2
1993,0.53
1994,3.05
1995,0.46
1996,0.27
1997,2.58
1998,0.99
1999,0.5
2000,0.26
2001,0.64
2002,8.42
2003,2.9
2004,6.9
2005,4.76
2006,0.41
2007,2.87
2008,0.93
2009,1.86
2010,4.09
2011,7.41
2012,1.39
2013,3.31
2014,6.46
2015,2.73
2016,4.79
2017,1.68
2018,5
2019,1.12
2020,15.11
2021,1.91
2022,4.69
2023,2.8
2024,6.48
