"Category","Relative Humidity (%)"
1950,45.66
1951,45.63
1952,45.61
1953,49.96
1954,49.91
1955,42.65
1956,45.54
1957,48.12
1958,47.92
1959,50.18
1960,48.14
1961,46.24
1962,48.68
1963,48.11
1964,50.35
1965,47.33
1966,45.3
1967,50.64
1968,48.39
1969,55.27
1970,49.21
1971,47.06
1972,50.08
1973,49.82
1974,45.58
1975,45
1976,51.09
1977,50.56
1978,53.09
1979,50.58
1980,52.66
1981,54.88
1982,52.49
1983,49.15
1984,48.68
1985,49.16
1986,48.03
1987,49.85
1988,51.2
1989,49.52
1990,50.49
1991,50.78
1992,52.9
1993,51.14
1994,50.94
1995,46.92
1996,44.89
1997,47.76
1998,50.23
1999,47.3
2000,48.01
2001,47.76
2002,50.75
2003,54.19
2004,49.34
2005,48.77
2006,47.67
2007,47.09
2008,47.7
2009,50.08
2010,45.44
2011,46.01
2012,44.49
2013,45.93
2014,46.4
2015,48.74
2016,48.76
2017,46.97
2018,45.58
2019,47.19
2020,47.42
2021,43.85
2022,48.92
2023,43.85
2024,47.96
