"Category","Temperature-based Excess Mortality (factor)"
1950,0.03
1951,0.05
1952,0.11
1953,0.06
1954,0.03
1955,0.14
1956,0.09
1957,0.04
1958,0.06
1959,0.03
1960,0.07
1961,0.08
1962,0.09
1963,0.06
1964,0.05
1965,0.08
1966,0.13
1967,0.08
1968,0.09
1969,0.07
1970,0.06
1971,0.07
1972,0.02
1973,0.11
1974,0.09
1975,0.14
1976,0.12
1977,0.11
1978,0.1
1979,0.13
1980,0.12
1981,0.06
1982,0.05
1983,0.18
1984,0.19
1985,0.12
1986,0.09
1987,0.1
1988,0.11
1989,0.08
1990,0.11
1991,0.08
1992,0.06
1993,0.09
1994,0.07
1995,0.12
1996,0.09
1997,0.14
1998,0.12
1999,0.11
2000,0.12
2001,0.09
2002,0.15
2003,0.1
2004,0.11
2005,0.18
2006,0.12
2007,0.14
2008,0.19
2009,0.07
2010,0.18
2011,0.17
2012,0.17
2013,0.12
2014,0.16
2015,0.22
2016,0.1
2017,0.16
2018,0.17
2019,0.21
2020,0.15
2021,0.25
2022,0.18
2023,0.19
2024,0.12
