"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,19.96,20.01
1902,20.34,19.76
1903,18.88,19.53
1904,19.3,19.35
1905,19.03,19.23
1906,19.71,19.22
1907,18.74,19.31
1908,19.63,19.49
1909,20.83,19.72
1910,19.85,19.94
1911,19.15,20.1
1912,19.97,20.16
1913,19.56,20.09
1914,20.2,19.95
1915,20.96,19.75
1916,19.17,19.56
1917,20.48,19.4
1918,18.88,19.31
1919,19.24,19.29
1920,17.65,19.31
1921,19.01,19.37
1922,20.51,19.44
1923,19.12,19.51
1924,19.47,19.56
1925,20.71,19.57
1926,19.98,19.53
1927,19.71,19.42
1928,18.34,19.21
1929,18.39,18.93
1930,18.5,18.61
1931,17.97,18.34
1932,18.62,18.16
1933,18.84,18.15
1934,17.59,18.34
1935,19.03,18.69
1936,19.68,19.13
1937,19.02,19.58
1938,19.84,19.98
1939,20.11,20.24
1940,20.64,20.36
1941,21.11,20.35
1942,19.92,20.25
1943,18.8,20.09
1944,20.69,19.9
1945,18.95,19.69
1946,19.74,19.49
1947,20.44,19.3
1948,19.95,19.15
1949,17.89,19.05
1950,18.51,19
1951,18.97,19.01
1952,19.15,19.05
1953,19.31,19.11
1954,18.27,19.17
1955,20.81,19.22
1956,19.2,19.26
1957,18.54,19.3
1958,19.8,19.35
1959,18.65,19.41
1960,19.03,19.51
1961,20.64,19.63
1962,19.88,19.77
1963,20.56,19.89
1964,18.7,19.97
1965,20.09,19.98
1966,20.46,19.9
1967,19.71,19.76
1968,19.73,19.59
1969,17.84,19.42
1970,20.2,19.29
1971,20.79,19.24
1972,17.66,19.28
1973,19.9,19.36
1974,18.99,19.48
1975,20.29,19.6
1976,18.88,19.69
1977,20.03,19.74
1978,19.57,19.75
1979,20.2,19.76
1980,19.79,19.77
1981,20.14,19.81
1982,19.29,19.88
1983,21.11,19.99
1984,18.91,20.1
1985,19.96,20.19
1986,20.13,20.22
1987,19.9,20.18
1988,20.58,20.07
1989,20.15,19.92
1990,20.51,19.78
1991,19.97,19.69
1992,19.33,19.69
1993,18.73,19.8
1994,19.63,19.99
1995,21.47,20.22
1996,19.76,20.47
1997,21.01,20.68
1998,20.34,20.82
1999,21.31,20.91
2000,21.17,20.94
2001,21.13,20.93
2002,21.04,20.91
2003,19.77,20.89
2004,21.32,20.88
2005,21.04,20.86
2006,20.84,20.85
2007,21.06,20.83
2008,20.49,20.81
2009,20.57,20.77
2010,21.62,20.73
2011,20.12,20.7
2012,20.18,20.69
2013,21.46,20.69
2014,20.07,20.73
2015,21.01,20.81
2016,21.49,20.9
2017,20.88,21.01
2018,20.8,21.12
2019,21.43,21.23
2020,20.54,21.34
2021,21.97,21.44
2022,21.35,21.54
2023,22.62,21.63
2024,21.04,21.73
