"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.38,13.53
1902,13.88,13.3
1903,12.5,13.08
1904,12.88,12.91
1905,12.76,12.81
1906,13.31,12.79
1907,12.49,12.88
1908,13.1,13.06
1909,14.03,13.28
1910,13.36,13.5
1911,12.62,13.68
1912,13.41,13.76
1913,13.57,13.73
1914,14.21,13.63
1915,14.83,13.48
1916,12.8,13.31
1917,13.96,13.16
1918,12.46,13.06
1919,12.64,13
1920,11.78,12.98
1921,12.88,13
1922,13.98,13.03
1923,12.78,13.07
1924,13.04,13.12
1925,13.99,13.15
1926,13.51,13.14
1927,13.35,13.08
1928,12.24,12.94
1929,12.07,12.74
1930,12.44,12.51
1931,12.17,12.3
1932,12.64,12.17
1933,12.82,12.15
1934,11.71,12.28
1935,12.7,12.53
1936,13.11,12.85
1937,12.46,13.18
1938,13.37,13.47
1939,13.73,13.67
1940,14.18,13.77
1941,14.53,13.78
1942,13.45,13.71
1943,12.46,13.59
1944,13.97,13.42
1945,12.57,13.22
1946,13.14,13.01
1947,13.82,12.83
1948,13.33,12.68
1949,11.79,12.6
1950,11.85,12.59
1951,12.74,12.65
1952,12.93,12.75
1953,13.34,12.87
1954,12.13,12.97
1955,14.15,13.04
1956,12.97,13.08
1957,12.34,13.09
1958,13.64,13.11
1959,12.66,13.14
1960,12.78,13.21
1961,14.1,13.33
1962,13.56,13.47
1963,14.24,13.6
1964,12.49,13.69
1965,13.77,13.71
1966,14.1,13.64
1967,13.55,13.51
1968,13.48,13.33
1969,11.93,13.16
1970,13.77,13.03
1971,14.24,12.98
1972,11.53,13
1973,13.64,13.09
1974,12.73,13.21
1975,13.86,13.34
1976,12.84,13.46
1977,13.88,13.55
1978,13.49,13.61
1979,13.95,13.66
1980,13.65,13.7
1981,14.22,13.73
1982,13.19,13.77
1983,14.77,13.82
1984,12.78,13.86
1985,13.65,13.89
1986,13.82,13.89
1987,13.73,13.87
1988,14.35,13.82
1989,13.76,13.75
1990,14.3,13.69
1991,13.95,13.66
1992,13.43,13.65
1993,12.85,13.7
1994,13.4,13.78
1995,14.87,13.89
1996,13.27,14.03
1997,14.57,14.18
1998,14.05,14.34
1999,14.91,14.49
2000,14.76,14.62
2001,14.82,14.73
2002,14.81,14.8
2003,14,14.83
2004,15.24,14.81
2005,14.86,14.76
2006,14.68,14.69
2007,14.76,14.62
2008,14.19,14.56
2009,14.58,14.52
2010,15.28,14.51
2011,14.01,14.51
2012,13.97,14.53
2013,15.28,14.57
2014,13.77,14.62
2015,15.08,14.68
2016,15.45,14.76
2017,14.71,14.85
2018,14.6,14.95
2019,15.36,15.07
2020,14.44,15.2
2021,15.52,15.34
2022,15.59,15.49
2023,16.37,15.65
2024,15.3,15.81
