"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,6.83,7.09
1902,7.45,6.87
1903,6.15,6.67
1904,6.5,6.51
1905,6.52,6.41
1906,6.94,6.4
1907,6.27,6.49
1908,6.61,6.66
1909,7.27,6.88
1910,6.9,7.1
1911,6.12,7.29
1912,6.88,7.39
1913,7.62,7.4
1914,8.25,7.34
1915,8.74,7.23
1916,6.47,7.09
1917,7.48,6.96
1918,6.07,6.84
1919,6.07,6.75
1920,5.93,6.69
1921,6.78,6.65
1922,7.49,6.65
1923,6.47,6.67
1924,6.64,6.71
1925,7.3,6.75
1926,7.07,6.77
1927,7.02,6.76
1928,6.16,6.7
1929,5.77,6.58
1930,6.41,6.43
1931,6.39,6.3
1932,6.68,6.2
1933,6.83,6.17
1934,5.85,6.24
1935,6.4,6.4
1936,6.57,6.59
1937,5.93,6.8
1938,6.92,7
1939,7.38,7.14
1940,7.75,7.22
1941,8,7.25
1942,7.02,7.21
1943,6.16,7.11
1944,7.29,6.97
1945,6.23,6.78
1946,6.57,6.57
1947,7.25,6.38
1948,6.74,6.24
1949,5.71,6.17
1950,5.21,6.21
1951,6.54,6.32
1952,6.73,6.49
1953,7.41,6.66
1954,6.02,6.81
1955,7.52,6.89
1956,6.76,6.92
1957,6.17,6.91
1958,7.52,6.9
1959,6.68,6.9
1960,6.56,6.95
1961,7.59,7.06
1962,7.29,7.2
1963,7.95,7.34
1964,6.32,7.44
1965,7.48,7.48
1966,7.77,7.42
1967,7.43,7.29
1968,7.27,7.11
1969,6.05,6.94
1970,7.38,6.8
1971,7.73,6.74
1972,5.42,6.76
1973,7.42,6.85
1974,6.48,6.97
1975,7.47,7.12
1976,6.82,7.27
1977,7.77,7.4
1978,7.45,7.51
1979,7.74,7.6
1980,7.53,7.66
1981,8.33,7.69
1982,7.12,7.7
1983,8.48,7.68
1984,6.67,7.65
1985,7.37,7.62
1986,7.54,7.59
1987,7.59,7.59
1988,8.15,7.6
1989,7.41,7.62
1990,8.13,7.64
1991,7.95,7.65
1992,7.56,7.65
1993,7.01,7.63
1994,7.2,7.6
1995,8.29,7.6
1996,6.81,7.63
1997,8.16,7.72
1998,7.79,7.88
1999,8.54,8.1
2000,8.39,8.34
2001,8.56,8.56
2002,8.61,8.73
2003,8.27,8.8
2004,9.19,8.78
2005,8.72,8.69
2006,8.55,8.57
2007,8.5,8.44
2008,7.92,8.35
2009,8.62,8.31
2010,8.97,8.31
2011,7.93,8.36
2012,7.8,8.42
2013,9.13,8.49
2014,7.49,8.55
2015,9.19,8.6
2016,9.44,8.65
2017,8.57,8.72
2018,8.43,8.81
2019,9.33,8.94
2020,8.38,9.09
2021,9.11,9.28
2022,9.87,9.48
2023,10.15,9.7
2024,9.59,9.93
