"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,144.82,146.44
1902,156.03,144.87
1903,132.13,143.36
1904,131.01,141.98
1905,135.21,140.79
1906,165.5,139.85
1907,159.26,139.21
1908,136.03,138.74
1909,113.19,138.21
1910,109.57,137.37
1911,157.88,135.97
1912,111.29,133.77
1913,148.69,130.89
1914,163.75,128.01
1915,117.66,125.86
1916,132.67,125.2
1917,89.25,126.76
1918,130.37,130.98
1919,143.08,136.96
1920,157.29,143.43
1921,144.88,149.04
1922,146.13,152.53
1923,158.15,152.71
1924,167.86,149.8
1925,117.59,145.18
1926,162.2,140.2
1927,111.12,136.22
1928,141.38,134.62
1929,119.88,135.94
1930,136.56,139.18
1931,173.43,143.21
1932,152.51,146.86
1933,169.66,148.97
1934,155.08,148.65
1935,121.83,146.35
1936,112.51,142.95
1937,108.97,139.37
1938,144.84,136.49
1939,156.57,135.16
1940,165.63,135.42
1941,147.44,136.62
1942,127.12,138.12
1943,145.14,139.24
1944,101.99,139.34
1945,177.39,138.13
1946,109.08,136.2
1947,128.1,134.21
1948,126.27,132.83
1949,173.05,132.74
1950,98.85,134.44
1951,118.64,137.48
1952,168.84,141.07
1953,184.14,144.37
1954,147.26,146.58
1955,105.77,146.95
1956,137.42,145.46
1957,131.55,142.88
1958,169.08,139.97
1959,141.68,137.5
1960,126.32,136.25
1961,126.87,136.67
1962,154.6,138.46
1963,146.99,141.18
1964,162.37,144.42
1965,109.54,147.75
1966,119.83,150.76
1967,172.22,153.15
1968,139.39,154.66
1969,256.65,155.04
1970,132.35,154.03
1971,98.89,151.4
1972,152.34,147.61
1973,162.58,143.89
1974,130.58,141.49
1975,100.94,141.65
1976,159.05,145.64
1977,139.25,153.79
1978,224.02,164.08
1979,163.62,174.05
1980,179.09,181.28
1981,222.33,183.28
1982,158.14,178.09
1983,128.38,167.28
1984,145.45,154.1
1985,132.97,141.9
1986,128.67,133.94
1987,170.38,133.4
1988,162.38,140.45
1989,136.41,151.59
1990,140.11,163.14
1991,182.94,171.44
1992,187.97,172.8
1993,174.25,165.19
1994,149.61,151.77
1995,89.85,136.66
1996,90.66,123.96
1997,167.87,117.87
1998,179.74,121.9
1999,133.14,134.42
2000,112.29,151.09
2001,116.96,167.38
2002,180.42,178.93
2003,230,181.4
2004,174.28,173.89
2005,160.76,160.18
2006,135.22,144.32
2007,138.37,130.35
2008,106.54,122.33
2009,159.9,123.04
2010,103.83,130.48
2011,142.81,141.66
2012,131.46,153.65
2013,177.17,163.39
2014,141.37,168.16
2015,184.29,167.81
2016,201.6,163.71
2017,152.36,157.27
2018,134.75,149.88
2019,165.85,142.93
2020,132.05,137.17
2021,92.52,132.45
2022,144.79,128.5
2023,108.8,125.06
2024,141.59,121.86
