"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.44
1952,0.47
1953,-0.07
1954,1.15
1955,-0.86
1956,0.12
1957,-0.37
1958,0.35
1959,0.85
1960,0.46
1961,-0.75
1962,-0.4
1963,0.15
1964,1.5
1965,0.34
1966,-0.66
1967,0.15
1968,-0.25
1969,0.87
1970,0.24
1971,-0.4
1972,-0.08
1973,0.56
1974,0.05
1975,-0.97
1976,0.08
1977,-0.14
1978,0.74
1979,0.8
1980,0.42
1981,1.53
1982,0.47
1983,0.44
1984,0.01
1985,0.14
1986,-0.48
1987,1.1
1988,0.65
1989,0.59
1990,-0.26
1991,0.61
1992,0.74
1993,1.15
1994,1.41
1995,0.11
1996,-0.55
1997,-0.47
1998,-0.03
1999,-0.97
2000,-0.79
2001,-1.04
2002,0.35
2003,1.02
2004,-0.07
2005,-1.17
2006,-1.25
2007,-1.16
2008,-2.11
2009,-1.2
2010,-0.91
2011,-2.28
2012,-1.62
2013,-1.87
2014,-1.57
2015,-0.81
2016,0.1
2017,-0.39
2018,-1.01
2019,-1.17
2020,-2.24
2021,-2.66
2022,-2.19
2023,-2.2
2024,-1.52
