"Category","Average Largest 1-Day Precipitation (mm)"
1950,5.23
1951,10.14
1952,14.62
1953,8.85
1954,10.42
1955,12.77
1956,9.8
1957,9.26
1958,12.23
1959,8.28
1960,10.61
1961,8.08
1962,7.02
1963,9.7
1964,8.55
1965,7.51
1966,11.92
1967,14.52
1968,11.12
1969,16.96
1970,8.62
1971,7.78
1972,8.1
1973,12.32
1974,7.03
1975,7.89
1976,11.98
1977,7.69
1978,12.95
1979,17.13
1980,10.17
1981,17.38
1982,8.75
1983,9.06
1984,13.88
1985,12.68
1986,10.93
1987,13.05
1988,11.82
1989,19.96
1990,15.04
1991,13.1
1992,11.05
1993,17.51
1994,19.95
1995,11.45
1996,11.1
1997,15.89
1998,14.06
1999,8.02
2000,7.28
2001,11.23
2002,16.59
2003,13.48
2004,11.82
2005,11.52
2006,10.62
2007,8.55
2008,7.31
2009,7.72
2010,8.14
2011,7.98
2012,15.62
2013,12.03
2014,7.48
2015,17.35
2016,11.48
2017,9.15
2018,13.98
2019,12.19
2020,9.54
2021,6.11
2022,12.22
2023,10.15
2024,15.45
