"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,7.9
1951,15.11
1952,25.22
1953,13.29
1954,16.1
1955,21.15
1956,14.93
1957,11.48
1958,22.61
1959,15.11
1960,15
1961,13.75
1962,10.11
1963,19.21
1964,13.34
1965,12.3
1966,14.83
1967,21.31
1968,13.8
1969,28.45
1970,13.02
1971,10.62
1972,13.07
1973,22.67
1974,11.48
1975,12.22
1976,20.91
1977,9.25
1978,20.4
1979,23.39
1980,16.72
1981,29.12
1982,13.1
1983,18.24
1984,18.71
1985,24.76
1986,19.27
1987,20.52
1988,25.56
1989,27.38
1990,20.27
1991,28.72
1992,18.79
1993,28.41
1994,23.13
1995,15.9
1996,11.32
1997,24.94
1998,22.4
1999,11.84
2000,12.61
2001,13.67
2002,27.07
2003,20.17
2004,14.87
2005,17.06
2006,13.53
2007,16.79
2008,11.78
2009,12.68
2010,14.02
2011,11.31
2012,20.27
2013,18.3
2014,11.61
2015,24.09
2016,18.93
2017,14.26
2018,20.19
2019,21.46
2020,17.72
2021,11.99
2022,19.51
2023,23.76
2024,20.9
