"Category","Precipitation amount during wettest days (mm)"
1950,0.63
1951,0.17
1952,5.25
1953,0.24
1954,2.18
1955,5.3
1956,3.03
1957,3.37
1958,7.38
1959,0.24
1960,3.11
1961,2.22
1962,0
1963,2.29
1964,0.25
1965,0.71
1966,5.82
1967,5.57
1968,1.93
1969,9.51
1970,0.66
1971,0.63
1972,1.54
1973,4.06
1974,0
1975,0
1976,3.25
1977,1.55
1978,3.06
1979,9.92
1980,3.99
1981,6.11
1982,2.35
1983,2.76
1984,11.59
1985,2.76
1986,1.13
1987,2.66
1988,3.39
1989,10.65
1990,6.31
1991,5.49
1992,4.49
1993,7.93
1994,9.05
1995,3.92
1996,12.25
1997,4.95
1998,5.82
1999,0.57
2000,0.23
2001,6.05
2002,5.01
2003,5.29
2004,5.48
2005,9.2
2006,3.19
2007,0
2008,0.28
2009,0.25
2010,1.27
2011,3.82
2012,6.29
2013,5.34
2014,1.07
2015,10.56
2016,4.8
2017,1.96
2018,7.44
2019,3.87
2020,1.96
2021,0
2022,3.65
2023,2.96
2024,7.65
