"Category","Relative Humidity (%)"
1950,50.97
1951,51.24
1952,51.61
1953,54.16
1954,55.65
1955,48.68
1956,52.66
1957,51.38
1958,54.61
1959,56.72
1960,54.83
1961,54.58
1962,55.95
1963,57.35
1964,58.28
1965,57.01
1966,53.16
1967,58.78
1968,54.74
1969,58.75
1970,55.2
1971,55.77
1972,54.92
1973,59.43
1974,54.13
1975,52.42
1976,58.9
1977,57.54
1978,59.58
1979,57.03
1980,61.24
1981,61.13
1982,59.46
1983,58.86
1984,56
1985,57.01
1986,55.15
1987,60.12
1988,59.48
1989,58.01
1990,58.35
1991,58.37
1992,59.74
1993,60.12
1994,60.01
1995,55.39
1996,53.64
1997,54.02
1998,55.73
1999,55.68
2000,56.55
2001,54.17
2002,56.8
2003,59.25
2004,54.92
2005,53.29
2006,54.54
2007,53.69
2008,52.78
2009,55.68
2010,52.33
2011,52.13
2012,50.32
2013,52.6
2014,51.21
2015,54.83
2016,56.31
2017,52.64
2018,50.97
2019,52.62
2020,49.14
2021,47.4
2022,52.41
2023,50.09
2024,53.2
