"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.07
1952,0.13
1953,0.06
1954,0.05
1955,0.15
1956,0.09
1957,0.03
1958,0.05
1959,0.05
1960,0.08
1961,0.09
1962,0.12
1963,0.04
1964,0.07
1965,0.07
1966,0.12
1967,0.06
1968,0.07
1969,0.07
1970,0.05
1971,0.06
1972,0.05
1973,0.11
1974,0.07
1975,0.16
1976,0.11
1977,0.1
1978,0.09
1979,0.12
1980,0.11
1981,0.07
1982,0.04
1983,0.18
1984,0.2
1985,0.11
1986,0.11
1987,0.11
1988,0.11
1989,0.11
1990,0.1
1991,0.1
1992,0.05
1993,0.09
1994,0.04
1995,0.11
1996,0.11
1997,0.12
1998,0.17
1999,0.14
2000,0.14
2001,0.1
2002,0.16
2003,0.1
2004,0.08
2005,0.19
2006,0.2
2007,0.14
2008,0.19
2009,0.1
2010,0.26
2011,0.23
2012,0.23
2013,0.09
2014,0.24
2015,0.25
2016,0.11
2017,0.24
2018,0.22
2019,0.24
2020,0.24
2021,0.35
2022,0.2
2023,0.23
2024,0.16
