"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,17.68,17.77
1902,17.71,17.47
1903,16.94,17.2
1904,16.84,16.97
1905,16.94,16.8
1906,17.35,16.72
1907,16.24,16.74
1908,16.46,16.85
1909,17.7,17.01
1910,17.45,17.17
1911,16.23,17.29
1912,17.18,17.33
1913,17.23,17.29
1914,17.37,17.18
1915,18.1,17.05
1916,16.7,16.94
1917,17.53,16.88
1918,16.56,16.9
1919,16.5,16.98
1920,16.33,17.09
1921,16.99,17.2
1922,17.67,17.26
1923,17.1,17.25
1924,17.02,17.16
1925,18.13,17.03
1926,17.27,16.85
1927,16.93,16.66
1928,15.47,16.48
1929,15.81,16.32
1930,16.51,16.2
1931,15.7,16.13
1932,16.71,16.12
1933,16.34,16.18
1934,15.39,16.32
1935,17.07,16.52
1936,17.2,16.73
1937,16.95,16.94
1938,17.06,17.1
1939,16.92,17.18
1940,17.44,17.17
1941,17.25,17.11
1942,16.44,17
1943,15.95,16.88
1944,18.13,16.77
1945,15.62,16.68
1946,16.92,16.61
1947,17.29,16.56
1948,17.8,16.53
1949,15.48,16.52
1950,15.67,16.54
1951,16.64,16.56
1952,16.59,16.6
1953,16.85,16.64
1954,15.88,16.68
1955,18.31,16.71
1956,16.2,16.73
1957,17.02,16.76
1958,16.97,16.8
1959,15.54,16.87
1960,16.42,16.98
1961,18.37,17.13
1962,17.85,17.29
1963,17.84,17.45
1964,16.33,17.56
1965,17.52,17.61
1966,18.29,17.57
1967,17.63,17.45
1968,17.38,17.31
1969,15.4,17.15
1970,17.57,17.03
1971,18.36,16.97
1972,16.09,16.98
1973,17.12,17.05
1974,17.03,17.14
1975,18.45,17.25
1976,16.09,17.34
1977,17.52,17.42
1978,17.11,17.47
1979,18.35,17.52
1980,16.93,17.58
1981,18.04,17.64
1982,17.46,17.74
1983,19.25,17.84
1984,16.88,17.93
1985,17.68,18.01
1986,17.9,18.03
1987,17.11,18
1988,18.11,17.9
1989,18.69,17.78
1990,18.6,17.68
1991,18.27,17.61
1992,16.97,17.63
1993,16.7,17.74
1994,16.97,17.92
1995,19.62,18.15
1996,17.51,18.39
1997,18.96,18.61
1998,18.39,18.77
1999,19.63,18.88
2000,19.24,18.95
2001,19.17,18.99
2002,18.89,19
2003,17.64,19.01
2004,19.54,19.01
2005,19.42,19.01
2006,18.9,19.01
2007,19.18,18.99
2008,18.97,18.96
2009,18.57,18.93
2010,19.75,18.89
2011,17.77,18.86
2012,18.6,18.84
2013,19.96,18.86
2014,18.28,18.92
2015,19.14,19.01
2016,19.57,19.14
2017,19.28,19.28
2018,18.73,19.44
2019,19.76,19.6
2020,19.55,19.76
2021,20.32,19.92
2022,19.71,20.07
2023,21.29,20.23
2024,19.67,20.39
