"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,11.39,11.49
1902,11.47,11.22
1903,10.69,10.98
1904,10.69,10.78
1905,10.8,10.64
1906,11.23,10.58
1907,10.24,10.62
1908,10.35,10.75
1909,11.51,10.92
1910,11.17,11.1
1911,10.21,11.24
1912,11.06,11.31
1913,11.38,11.3
1914,11.68,11.22
1915,12.26,11.12
1916,10.56,11.01
1917,11.48,10.95
1918,10.49,10.94
1919,10.67,10.98
1920,10.28,11.04
1921,10.88,11.1
1922,11.57,11.13
1923,11.01,11.11
1924,10.92,11.04
1925,11.94,10.92
1926,11.16,10.78
1927,10.81,10.62
1928,9.52,10.46
1929,9.68,10.3
1930,10.49,10.17
1931,9.81,10.09
1932,10.73,10.07
1933,10.42,10.14
1934,9.53,10.3
1935,10.78,10.53
1936,11.05,10.78
1937,10.79,11.03
1938,11.27,11.22
1939,11.24,11.33
1940,11.81,11.34
1941,11.43,11.27
1942,10.63,11.16
1943,10.15,11.03
1944,11.96,10.9
1945,9.82,10.78
1946,11.01,10.69
1947,11.31,10.62
1948,11.7,10.57
1949,9.81,10.55
1950,9.52,10.55
1951,10.6,10.57
1952,10.63,10.61
1953,11.13,10.65
1954,9.9,10.69
1955,11.94,10.73
1956,10.33,10.76
1957,10.88,10.79
1958,11.26,10.84
1959,9.84,10.91
1960,10.33,11.01
1961,12.12,11.14
1962,11.78,11.29
1963,11.9,11.41
1964,10.4,11.49
1965,11.48,11.51
1966,11.93,11.44
1967,11.49,11.31
1968,11.11,11.14
1969,9.64,10.97
1970,11.34,10.85
1971,12.01,10.79
1972,9.77,10.81
1973,11.26,10.89
1974,10.76,11.01
1975,12.12,11.15
1976,10.26,11.28
1977,11.54,11.39
1978,11.18,11.49
1979,12.26,11.56
1980,10.99,11.62
1981,12.28,11.66
1982,11.17,11.69
1983,13.1,11.71
1984,10.64,11.72
1985,11.43,11.71
1986,11.59,11.7
1987,11.04,11.67
1988,11.91,11.64
1989,12.23,11.6
1990,12.33,11.57
1991,12.07,11.55
1992,11.04,11.55
1993,10.75,11.58
1994,10.77,11.63
1995,13.07,11.71
1996,10.89,11.82
1997,12.32,11.95
1998,11.9,12.13
1999,12.86,12.31
2000,12.76,12.5
2001,12.72,12.67
2002,12.73,12.79
2003,11.77,12.85
2004,13.36,12.85
2005,13.1,12.8
2006,12.57,12.72
2007,12.82,12.63
2008,12.42,12.56
2009,12.43,12.51
2010,13.28,12.49
2011,11.53,12.5
2012,12.19,12.53
2013,13.54,12.58
2014,11.74,12.64
2015,13.08,12.71
2016,13.49,12.8
2017,12.86,12.9
2018,12.25,13.01
2019,13.34,13.13
2020,13.02,13.26
2021,13.58,13.4
2022,13.43,13.54
2023,14.45,13.68
2024,13.28,13.82
