"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,5.12,5.24
1902,5.25,5
1903,4.46,4.79
1904,4.56,4.61
1905,4.68,4.49
1906,5.13,4.46
1907,4.27,4.52
1908,4.26,4.67
1909,5.34,4.86
1910,4.91,5.05
1911,4.22,5.22
1912,4.97,5.32
1913,5.56,5.33
1914,6.01,5.29
1915,6.45,5.21
1916,4.45,5.12
1917,5.45,5.04
1918,4.44,5.01
1919,4.87,5
1920,4.25,5.01
1921,4.8,5.03
1922,5.51,5.02
1923,4.94,5
1924,4.83,4.93
1925,5.79,4.85
1926,5.08,4.74
1927,4.71,4.6
1928,3.59,4.45
1929,3.57,4.3
1930,4.48,4.16
1931,3.94,4.07
1932,4.76,4.04
1933,4.52,4.11
1934,3.7,4.3
1935,4.52,4.56
1936,4.93,4.86
1937,4.65,5.15
1938,5.5,5.38
1939,5.6,5.5
1940,6.21,5.53
1941,5.65,5.47
1942,4.84,5.35
1943,4.37,5.2
1944,5.82,5.05
1945,4.04,4.92
1946,5.12,4.8
1947,5.36,4.71
1948,5.62,4.64
1949,4.17,4.6
1950,3.38,4.59
1951,4.58,4.6
1952,4.69,4.63
1953,5.42,4.67
1954,3.93,4.72
1955,5.6,4.76
1956,4.47,4.8
1957,4.77,4.85
1958,5.58,4.9
1959,4.16,4.97
1960,4.26,5.07
1961,5.9,5.19
1962,5.75,5.3
1963,6,5.4
1964,4.5,5.46
1965,5.48,5.44
1966,5.59,5.35
1967,5.37,5.19
1968,4.86,5
1969,3.9,4.82
1970,5.13,4.68
1971,5.69,4.63
1972,3.47,4.66
1973,5.43,4.76
1974,4.51,4.91
1975,5.81,5.08
1976,4.45,5.25
1977,5.58,5.4
1978,5.27,5.53
1979,6.2,5.63
1980,5.06,5.69
1981,6.55,5.7
1982,4.9,5.67
1983,6.98,5.61
1984,4.43,5.53
1985,5.21,5.45
1986,5.32,5.39
1987,5,5.38
1988,5.72,5.4
1989,5.8,5.45
1990,6.1,5.5
1991,5.91,5.52
1992,5.14,5.51
1993,4.82,5.45
1994,4.59,5.36
1995,6.56,5.29
1996,4.29,5.26
1997,5.71,5.33
1998,5.44,5.5
1999,6.13,5.77
2000,6.3,6.08
2001,6.31,6.38
2002,6.59,6.62
2003,5.92,6.73
2004,7.22,6.72
2005,6.8,6.62
2006,6.27,6.46
2007,6.49,6.3
2008,5.9,6.18
2009,6.32,6.13
2010,6.85,6.13
2011,5.31,6.17
2012,5.81,6.24
2013,7.17,6.32
2014,5.22,6.39
2015,7.05,6.44
2016,7.45,6.5
2017,6.47,6.56
2018,5.81,6.62
2019,6.95,6.7
2020,6.52,6.8
2021,6.87,6.91
2022,7.19,7.03
2023,7.65,7.16
2024,6.93,7.3
