"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,121.6,119.23
1902,128.43,117.83
1903,97.67,116.32
1904,100.41,114.59
1905,123.9,112.54
1906,125.96,110.04
1907,118.66,107.01
1908,96.51,103.69
1909,90.21,100.52
1910,82.35,97.96
1911,107.97,96.45
1912,84.98,96.44
1913,92.5,98.04
1914,117.1,100.79
1915,135.18,104.19
1916,105.09,107.73
1917,80.08,110.9
1918,111.83,113.28
1919,113.85,114.83
1920,125.16,115.62
1921,113.48,115.73
1922,113.9,115.23
1923,110.75,114.19
1924,123.95,112.75
1925,102.54,111.08
1926,123.75,109.36
1927,99.11,107.76
1928,107.37,106.44
1929,85.53,105.55
1930,96.55,105.09
1931,129.29,105.09
1932,110.66,105.55
1933,126.29,106.48
1934,116.94,107.85
1935,91.87,109.38
1936,92.97,110.71
1937,77.81,111.49
1938,107.92,111.34
1939,116.3,109.94
1940,162.73,107.37
1941,108.63,104.11
1942,92.39,100.6
1943,92.11,97.32
1944,61.64,94.73
1945,117.01,93.14
1946,83.81,92.48
1947,97.85,92.65
1948,86.8,93.54
1949,107.2,95.06
1950,73.1,97.05
1951,100.84,99.17
1952,126.76,101.02
1953,117.89,102.14
1954,90.83,102.14
1955,75.19,100.6
1956,92.43,97.83
1957,84.63,94.75
1958,134.27,92.32
1959,101.02,91.5
1960,77.07,93.24
1961,74.06,97.88
1962,104.11,104.33
1963,137.37,111.26
1964,117.97,117.4
1965,104.05,121.37
1966,114.86,122.1
1967,127.63,119.87
1968,100.05,115.56
1969,171.14,110.05
1970,77.16,104.21
1971,76.12,98.92
1972,72.54,94.87
1973,156.85,92.63
1974,78.96,92.71
1975,59.88,95.63
1976,104.95,101.94
1977,90.78,111.53
1978,173.63,122.64
1979,112.73,133.25
1980,145.64,141.32
1981,187.78,144.78
1982,118.52,142
1983,126.3,134.36
1984,90.86,124.64
1985,114.9,115.73
1986,96.87,110.42
1987,147.99,111.45
1988,146.4,118.87
1989,111.92,129.48
1990,142.22,139.92
1991,126.29,146.84
1992,146.37,146.86
1993,140.34,138.21
1994,156.22,124.04
1995,90.56,108.43
1996,62.28,95.45
1997,100.98,89.26
1998,114.46,93.32
1999,119.09,106.02
2000,112.42,123.02
2001,123.02,139.85
2002,139.81,152.15
2003,181.81,155.61
2004,146.08,149.32
2005,120.32,136.99
2006,134.86,122.63
2007,114.29,110.21
2008,105.38,103.74
2009,125.42,105.88
2010,106.55,114.37
2011,124.11,125.96
2012,98.79,137.39
2013,142.98,145.32
2014,131.55,146.82
2015,158.1,142.17
2016,190.57,133.55
2017,123.11,123.27
2018,101.75,113.55
2019,116.27,106.6
2020,86.37,103.51
2021,76.31,103.62
2022,105.87,106.13
2023,106.4,110.23
2024,134.83,115.15
