"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.03
1952,0.85
1953,1.4
1954,2.36
1955,-0.02
1956,0.29
1957,-0.16
1958,0.67
1959,0.49
1960,0.26
1961,-0.48
1962,-0.47
1963,-0.16
1964,1.39
1965,-0.08
1966,-0.96
1967,-0.35
1968,0.19
1969,2.46
1970,0.3
1971,-1.41
1972,0.26
1973,0.74
1974,-0.22
1975,-0.58
1976,0.31
1977,-0.55
1978,0.47
1979,0.66
1980,-0.02
1981,0.7
1982,0.26
1983,-0.12
1984,-0.24
1985,0.33
1986,-0.78
1987,0.53
1988,0.48
1989,-0.53
1990,-0.13
1991,0.16
1992,1.33
1993,1.24
1994,0.27
1995,-0.33
1996,-0.75
1997,-0.09
1998,1.34
1999,0.09
2000,-1.92
2001,-2.12
2002,0.35
2003,0.86
2004,0.36
2005,0.27
2006,-1.42
2007,-0.94
2008,-1.07
2009,0.3
2010,0.1
2011,-1.61
2012,0.02
2013,-0.63
2014,-0.86
2015,0.08
2016,-0.82
2017,-0.3
2018,-1.92
2019,0.84
2020,0.16
2021,-1.61
2022,-1.49
2023,-1.9
2024,-0.83
