"Category","Average Largest 1-Day Precipitation (mm)"
1950,16.36
1951,25.74
1952,21.22
1953,35.51
1954,30.24
1955,27.41
1956,23.81
1957,18.72
1958,25.77
1959,20.18
1960,21.61
1961,22.59
1962,15.9
1963,18.67
1964,27.62
1965,26.05
1966,21.33
1967,23.36
1968,23.25
1969,31.13
1970,17.39
1971,18.98
1972,20.68
1973,23.94
1974,30.4
1975,23.57
1976,24
1977,20.62
1978,18.59
1979,21.32
1980,20.05
1981,21.56
1982,18.73
1983,19.99
1984,24.72
1985,19.46
1986,17.6
1987,22.98
1988,25.6
1989,22.63
1990,18.76
1991,20.2
1992,21.06
1993,25.5
1994,18.52
1995,21.14
1996,19.78
1997,24.32
1998,34.26
1999,27.15
2000,15.07
2001,17.92
2002,31.03
2003,24.54
2004,27.59
2005,20.08
2006,17.02
2007,22.26
2008,18.98
2009,21.78
2010,21.19
2011,14.78
2012,17.34
2013,20.99
2014,16.49
2015,25.77
2016,15.42
2017,31.2
2018,17.47
2019,32.87
2020,19.54
2021,24.93
2022,19.24
2023,15.6
2024,25.31
