"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,47.47
1951,39.84
1952,51.93
1953,73.4
1954,80.89
1955,51.21
1956,48.9
1957,39.34
1958,45.91
1959,44.19
1960,40.53
1961,46.97
1962,32.98
1963,35.9
1964,59.44
1965,38.14
1966,37.66
1967,41.45
1968,40
1969,77.78
1970,34.2
1971,33.13
1972,46.33
1973,50.2
1974,47.46
1975,43.85
1976,39.51
1977,43.34
1978,34.55
1979,41.34
1980,30.59
1981,51.22
1982,36.36
1983,38.33
1984,44.88
1985,43.01
1986,39.89
1987,50.52
1988,48.97
1989,49.07
1990,50.43
1991,50.81
1992,45.01
1993,61.41
1994,36.85
1995,56.73
1996,47.47
1997,54.31
1998,79.4
1999,38.22
2000,22.88
2001,29.34
2002,52.27
2003,50.85
2004,60.05
2005,43.54
2006,30.32
2007,56.03
2008,30.91
2009,53.53
2010,37.37
2011,36.57
2012,38.81
2013,39.46
2014,45.38
2015,48.5
2016,42.45
2017,68.15
2018,36.13
2019,54.09
2020,48.64
2021,48.27
2022,42.01
2023,36.12
2024,39.77
