"Category","Precipitation amount during wettest days (mm)"
1950,3.93
1951,12.66
1952,6.9
1953,21.3
1954,13.46
1955,13.63
1956,18.72
1957,6.05
1958,14.28
1959,12.03
1960,8.13
1961,13.49
1962,4.54
1963,7.9
1964,17.79
1965,10.51
1966,6.74
1967,5.83
1968,6.45
1969,25.83
1970,3.37
1971,7.08
1972,9.14
1973,14.66
1974,16.54
1975,12.02
1976,10.78
1977,4.53
1978,8.77
1979,8.65
1980,7.6
1981,9.88
1982,2.71
1983,4.04
1984,10.24
1985,7.67
1986,4.33
1987,11.87
1988,12.93
1989,7.18
1990,4.15
1991,5.62
1992,8
1993,14.94
1994,4.16
1995,8.53
1996,5.14
1997,12.72
1998,21.82
1999,7.38
2000,1.49
2001,4.76
2002,24.64
2003,15.05
2004,16.33
2005,6.33
2006,4.18
2007,9.29
2008,4.72
2009,14.33
2010,8.05
2011,2.42
2012,3.94
2013,12.03
2014,3.11
2015,15.34
2016,4.81
2017,12.56
2018,3.76
2019,16.34
2020,4.35
2021,15.74
2022,8.41
2023,4.67
2024,14.69
