"Category","Relative Humidity (%)"
1950,49.82
1951,54.44
1952,54.16
1953,56.32
1954,54.54
1955,48.95
1956,49.52
1957,54.67
1958,51.1
1959,57.04
1960,57.02
1961,52.04
1962,54.46
1963,54.51
1964,56.28
1965,53.2
1966,50.42
1967,55.45
1968,56.44
1969,61.99
1970,54.82
1971,51.47
1972,58.33
1973,56.02
1974,55.62
1975,53.47
1976,57.18
1977,57.59
1978,57.29
1979,55.91
1980,56.93
1981,57.81
1982,58.2
1983,55.33
1984,57.65
1985,56.26
1986,54.75
1987,56.9
1988,56.58
1989,54.38
1990,57.55
1991,59.9
1992,58.71
1993,60.19
1994,57.64
1995,55.11
1996,54.14
1997,58.22
1998,59.29
1999,57.55
2000,52.74
2001,53.78
2002,58.81
2003,59.39
2004,57.17
2005,55.32
2006,55.03
2007,56.07
2008,57.07
2009,58.48
2010,54.31
2011,54.29
2012,55.76
2013,53.11
2014,53.85
2015,54.68
2016,53.18
2017,51.76
2018,50.65
2019,54.95
2020,54.56
2021,46.96
2022,53.41
2023,47.52
2024,52.21
