"Category","Temperature-based Excess Mortality (factor)"
1950,0.08
1951,0.06
1952,0.06
1953,0.06
1954,0.02
1955,0.14
1956,0.12
1957,0.04
1958,0.09
1959,0.04
1960,0.06
1961,0.07
1962,0.05
1963,0.04
1964,0.04
1965,0.05
1966,0.09
1967,0.06
1968,0.06
1969,0.03
1970,0.07
1971,0.06
1972,0.01
1973,0.08
1974,0.05
1975,0.1
1976,0.07
1977,0.1
1978,0.06
1979,0.08
1980,0.07
1981,0.03
1982,0.05
1983,0.11
1984,0.12
1985,0.07
1986,0.05
1987,0.04
1988,0.08
1989,0.04
1990,0.08
1991,0.03
1992,0.04
1993,0.04
1994,0.09
1995,0.1
1996,0.07
1997,0.12
1998,0.06
1999,0.06
2000,0.08
2001,0.09
2002,0.08
2003,0.07
2004,0.06
2005,0.07
2006,0.09
2007,0.06
2008,0.09
2009,0.04
2010,0.07
2011,0.12
2012,0.07
2013,0.11
2014,0.1
2015,0.14
2016,0.1
2017,0.11
2018,0.16
2019,0.15
2020,0.07
2021,0.19
2022,0.18
2023,0.26
2024,0.2
