"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,20.84,20.85
1902,21.22,20.57
1903,19.55,20.32
1904,20.03,20.12
1905,19.74,19.99
1906,20.49,19.97
1907,19.6,20.08
1908,20.5,20.29
1909,21.72,20.56
1910,20.61,20.82
1911,20,21.04
1912,21.02,21.15
1913,20.48,21.13
1914,21.4,21.02
1915,22.29,20.85
1916,20.06,20.66
1917,21.53,20.47
1918,19.89,20.31
1919,20.26,20.2
1920,18.38,20.13
1921,19.66,20.1
1922,21.2,20.11
1923,19.74,20.17
1924,20.2,20.25
1925,21.53,20.32
1926,20.77,20.33
1927,20.69,20.27
1928,19.16,20.08
1929,19.18,19.78
1930,19.17,19.44
1931,18.76,19.12
1932,19.33,18.91
1933,19.77,18.88
1934,18.56,19.1
1935,19.51,19.5
1936,20.7,20.01
1937,19.8,20.54
1938,20.89,21
1939,21.22,21.32
1940,21.82,21.46
1941,22.33,21.47
1942,21,21.38
1943,19.84,21.21
1944,21.63,21
1945,20.13,20.79
1946,20.91,20.57
1947,21.66,20.38
1948,20.85,20.22
1949,18.96,20.12
1950,19.71,20.08
1951,19.97,20.08
1952,20.26,20.12
1953,20.18,20.18
1954,19.42,20.22
1955,21.85,20.24
1956,20.42,20.24
1957,19.08,20.22
1958,20.74,20.21
1959,19.73,20.23
1960,19.89,20.29
1961,21.24,20.39
1962,20.42,20.52
1963,21.39,20.64
1964,19.4,20.71
1965,20.89,20.72
1966,21.35,20.64
1967,20.34,20.49
1968,20.37,20.3
1969,18.48,20.12
1970,21.14,19.99
1971,21.55,19.94
1972,18.24,19.98
1973,20.74,20.08
1974,19.54,20.21
1975,20.64,20.34
1976,19.84,20.44
1977,20.79,20.49
1978,20.51,20.51
1979,20.89,20.51
1980,20.86,20.52
1981,21.02,20.55
1982,19.76,20.61
1983,21.48,20.71
1984,19.59,20.8
1985,20.68,20.87
1986,20.82,20.9
1987,20.82,20.85
1988,21.46,20.74
1989,20.69,20.6
1990,21.08,20.46
1991,20.41,20.38
1992,20.03,20.37
1993,19.47,20.47
1994,20.52,20.65
1995,22.04,20.88
1996,20.54,21.11
1997,21.52,21.32
1998,20.98,21.47
1999,21.77,21.56
2000,21.88,21.6
2001,21.92,21.6
2002,21.73,21.59
2003,20.52,21.56
2004,21.86,21.52
2005,21.56,21.49
2006,21.5,21.45
2007,21.65,21.42
2008,21.09,21.4
2009,21.23,21.38
2010,22.19,21.37
2011,20.9,21.37
2012,20.88,21.38
2013,21.91,21.41
2014,20.94,21.45
2015,21.67,21.5
2016,22.16,21.56
2017,21.55,21.64
2018,21.63,21.72
2019,21.88,21.81
2020,20.82,21.91
2021,22.61,22.02
2022,22.16,22.13
2023,23.13,22.24
2024,21.66,22.35
