"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.92,13.99
1902,14.37,13.75
1903,12.84,13.53
1904,13.26,13.36
1905,13.14,13.25
1906,13.75,13.23
1907,12.93,13.31
1908,13.68,13.49
1909,14.5,13.71
1910,13.77,13.94
1911,13.08,14.12
1912,13.87,14.22
1913,13.96,14.21
1914,14.73,14.12
1915,15.35,13.98
1916,13.17,13.81
1917,14.47,13.64
1918,12.97,13.49
1919,13.03,13.38
1920,12.11,13.3
1921,13.11,13.26
1922,14.29,13.27
1923,12.97,13.32
1924,13.3,13.4
1925,14.22,13.48
1926,13.94,13.53
1927,13.9,13.52
1928,12.76,13.41
1929,12.55,13.21
1930,12.72,12.96
1931,12.65,12.73
1932,12.92,12.56
1933,13.31,12.52
1934,12.25,12.65
1935,12.93,12.91
1936,13.57,13.26
1937,12.79,13.63
1938,13.89,13.96
1939,14.2,14.2
1940,14.79,14.34
1941,15.23,14.38
1942,14.13,14.34
1943,13.1,14.23
1944,14.48,14.07
1945,13.28,13.86
1946,13.74,13.64
1947,14.52,13.43
1948,13.76,13.27
1949,12.35,13.17
1950,12.6,13.17
1951,13.28,13.24
1952,13.59,13.35
1953,13.74,13.47
1954,12.84,13.58
1955,14.7,13.62
1956,13.64,13.62
1957,12.57,13.58
1958,14.11,13.54
1959,13.3,13.53
1960,13.25,13.57
1961,14.3,13.67
1962,13.75,13.81
1963,14.62,13.95
1964,12.73,14.05
1965,14.22,14.09
1966,14.6,14.03
1967,13.84,13.9
1968,13.94,13.73
1969,12.35,13.57
1970,14.34,13.44
1971,14.64,13.39
1972,11.92,13.42
1973,14.03,13.52
1974,13.08,13.65
1975,13.94,13.79
1976,13.49,13.92
1977,14.41,14.01
1978,14.09,14.08
1979,14.41,14.13
1980,14.39,14.17
1981,14.71,14.21
1982,13.53,14.25
1983,14.85,14.29
1984,13.28,14.33
1985,14.15,14.35
1986,14.32,14.35
1987,14.41,14.32
1988,14.93,14.26
1989,14.05,14.2
1990,14.64,14.14
1991,14.24,14.11
1992,13.95,14.12
1993,13.43,14.18
1994,14.12,14.29
1995,15.2,14.43
1996,13.93,14.58
1997,15,14.74
1998,14.62,14.87
1999,15.3,14.99
2000,15.28,15.08
2001,15.31,15.14
2002,15.14,15.18
2003,14.46,15.18
2004,15.52,15.15
2005,15.11,15.1
2006,15.08,15.04
2007,15.06,14.98
2008,14.57,14.94
2009,14.99,14.91
2010,15.6,14.91
2011,14.67,14.92
2012,14.41,14.95
2013,15.46,14.99
2014,14.33,15.05
2015,15.39,15.11
2016,15.84,15.18
2017,15.1,15.27
2018,15.32,15.36
2019,15.72,15.48
2020,14.65,15.61
2021,15.89,15.75
2022,16.15,15.9
2023,16.69,16.06
2024,15.74,16.22
