"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,7.03,7.18
1902,7.57,6.97
1903,6.16,6.78
1904,6.53,6.63
1905,6.56,6.53
1906,7.05,6.51
1907,6.3,6.58
1908,6.9,6.73
1909,7.32,6.91
1910,6.97,7.1
1911,6.2,7.25
1912,6.77,7.33
1913,7.48,7.33
1914,8.1,7.26
1915,8.46,7.14
1916,6.31,7
1917,7.46,6.85
1918,6.09,6.71
1919,5.84,6.59
1920,5.88,6.51
1921,6.59,6.46
1922,7.43,6.46
1923,6.23,6.5
1924,6.43,6.59
1925,6.94,6.69
1926,7.15,6.77
1927,7.14,6.81
1928,6.4,6.78
1929,5.95,6.67
1930,6.31,6.52
1931,6.57,6.37
1932,6.55,6.25
1933,6.89,6.2
1934,5.98,6.24
1935,6.39,6.36
1936,6.47,6.54
1937,5.81,6.75
1938,6.92,6.95
1939,7.22,7.13
1940,7.8,7.26
1941,8.16,7.34
1942,7.3,7.35
1943,6.4,7.3
1944,7.39,7.17
1945,6.45,6.97
1946,6.6,6.74
1947,7.43,6.52
1948,6.7,6.34
1949,5.79,6.26
1950,5.52,6.3
1951,6.63,6.43
1952,6.96,6.62
1953,7.34,6.81
1954,6.3,6.97
1955,7.59,7.04
1956,6.91,7.04
1957,6.1,6.98
1958,7.52,6.91
1959,6.91,6.87
1960,6.64,6.89
1961,7.4,6.99
1962,7.11,7.14
1963,7.9,7.29
1964,6.1,7.42
1965,7.59,7.49
1966,7.89,7.46
1967,7.38,7.35
1968,7.55,7.2
1969,6.26,7.05
1970,7.58,6.93
1971,7.77,6.88
1972,5.64,6.91
1973,7.37,7
1974,6.66,7.13
1975,7.27,7.28
1976,7.17,7.43
1977,8.05,7.57
1978,7.7,7.69
1979,7.97,7.78
1980,7.97,7.86
1981,8.45,7.91
1982,7.34,7.93
1983,8.27,7.92
1984,7.01,7.9
1985,7.65,7.87
1986,7.88,7.85
1987,8.04,7.83
1988,8.45,7.83
1989,7.44,7.83
1990,8.23,7.85
1991,8.1,7.87
1992,7.91,7.9
1993,7.44,7.93
1994,7.75,7.97
1995,8.41,8.02
1996,7.36,8.09
1997,8.52,8.19
1998,8.31,8.32
1999,8.88,8.46
2000,8.72,8.6
2001,8.74,8.73
2002,8.59,8.82
2003,8.46,8.85
2004,9.22,8.82
2005,8.69,8.75
2006,8.7,8.66
2007,8.5,8.58
2008,8.08,8.51
2009,8.78,8.48
2010,9.06,8.49
2011,8.47,8.51
2012,7.97,8.56
2013,9.05,8.62
2014,7.75,8.69
2015,9.14,8.76
2016,9.57,8.84
2017,8.7,8.94
2018,9.05,9.05
2019,9.61,9.19
2020,8.52,9.35
2021,9.22,9.53
2022,10.18,9.72
2023,10.29,9.92
2024,9.86,10.13
