"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,210.32,245.01
1902,281.02,256.74
1903,310.15,268.26
1904,281.48,279.4
1905,205.42,289.88
1906,330.27,299.53
1907,394.33,308.1
1908,327.12,314.77
1909,237.82,318.32
1910,248.1,317.56
1911,341.21,311.29
1912,291.1,298.28
1913,316.41,279.42
1914,325.89,258.8
1915,228.95,240.88
1916,263.2,230.1
1917,69.36,230.96
1918,287.82,246.27
1919,319.82,271.5
1920,331.04,300.13
1921,294.66,325.37
1922,302.39,340.68
1923,381.01,339.95
1924,389.17,324.11
1925,207.53,299.64
1926,307.32,273.02
1927,204.28,250.75
1928,230.94,239.3
1929,245.37,241.65
1930,226.02,253.99
1931,397.28,271.78
1932,248.87,290.56
1933,332.96,305.7
1934,367.46,313.6
1935,265.04,315.02
1936,217.55,312.19
1937,273.32,307.35
1938,296.33,302.71
1939,333.42,300.4
1940,297.15,300.68
1941,373.07,302.23
1942,350.1,303.7
1943,371.98,303.73
1944,191.44,300.95
1945,344.52,295.04
1946,191.4,287.82
1947,243.76,281.39
1948,254.83,277.83
1949,360.51,279.27
1950,239.31,287.25
1951,299.11,300.07
1952,391.33,314.9
1953,433.6,328.76
1954,290.96,338.81
1955,269,342.28
1956,299.03,339.04
1957,318.16,331.48
1958,359.69,322.05
1959,292.54,313.22
1960,348.75,307.46
1961,275.42,306.24
1962,306.67,308.6
1963,378.16,313.24
1964,357.68,318.87
1965,249.67,324.15
1966,243.38,327.9
1967,344.01,329.67
1968,326.66,329.33
1969,524.04,326.72
1970,264.27,321.71
1971,174.8,314.21
1972,383.31,304.97
1973,292.16,295.8
1974,272.9,288.48
1975,236.99,284.81
1976,338.86,286.6
1977,284.78,294.41
1978,338.47,305.52
1979,304.75,316.65
1980,293.27,324.53
1981,374.62,325.84
1982,326.77,317.94
1983,267.12,303.14
1984,271.14,286.06
1985,264.94,271.44
1986,229.1,263.91
1987,343.25,268
1988,316.46,284.04
1989,261.5,307.15
1990,281.72,332.31
1991,372.76,354.45
1992,396.4,368.51
1993,451.18,371.23
1994,348.14,365.28
1995,251.61,354.38
1996,254.96,342.23
1997,410.81,332.65
1998,459.67,328.92
1999,331.79,330.67
2000,262.49,335.57
2001,245.18,341.23
2002,400.66,345.29
2003,387.91,345.46
2004,354.16,341.19
2005,329.55,334.44
2006,304.62,327.28
2007,317.17,321.78
2008,259.47,320.02
2009,452.68,323.31
2010,283.21,330.13
2011,288.48,338.35
2012,384.34,345.88
2013,346.5,350.56
2014,342.82,350.5
2015,365.89,346.12
2016,353.97,339.18
2017,293.02,331.53
2018,261.77,324.96
2019,423.28,321.26
2020,364.4,321.24
2021,224.11,324.27
2022,391.59,329.58
2023,257.3,336.41
2024,390.4,344.03
