"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.28
1952,0.97
1953,1.38
1954,2.02
1955,-0.23
1956,0.27
1957,-0.3
1958,0.5
1959,0.19
1960,0.15
1961,-0.33
1962,-0.58
1963,-0.15
1964,1.3
1965,0.14
1966,-0.97
1967,-0.39
1968,0.25
1969,2.42
1970,0.53
1971,-1.4
1972,-0.05
1973,0.58
1974,-0.26
1975,-0.77
1976,-0.07
1977,-0.69
1978,0.74
1979,0.8
1980,-0.01
1981,0.69
1982,0.02
1983,-0.14
1984,-0.36
1985,0.32
1986,-0.9
1987,0.69
1988,0.52
1989,-0.31
1990,0.07
1991,0.39
1992,1.44
1993,1.33
1994,0.33
1995,-0.55
1996,-0.94
1997,0.13
1998,1.27
1999,-0.09
2000,-1.81
2001,-2.17
2002,0.35
2003,0.84
2004,0.42
2005,0.41
2006,-1.25
2007,-0.84
2008,-1.14
2009,0.32
2010,-0.06
2011,-1.57
2012,-0.24
2013,-0.68
2014,-0.86
2015,-0.15
2016,-0.87
2017,-0.21
2018,-1.81
2019,0.37
2020,0.23
2021,-1.65
2022,-1.28
2023,-1.72
2024,-0.61
