"Category","Average Largest 1-Day Precipitation (mm)"
1950,20.59
1951,28.35
1952,20.04
1953,42.79
1954,27.39
1955,29.71
1956,26.25
1957,20.3
1958,23.62
1959,24.12
1960,20.06
1961,27.12
1962,21.6
1963,23.63
1964,30.38
1965,34.4
1966,21.59
1967,28.14
1968,18.93
1969,39.4
1970,23.17
1971,15.81
1972,18.84
1973,24.67
1974,28.42
1975,25.6
1976,21.12
1977,29.18
1978,20.08
1979,26.73
1980,25.68
1981,21.1
1982,18.6
1983,21.26
1984,20.5
1985,23.95
1986,23.72
1987,24.99
1988,25.78
1989,23.64
1990,16.93
1991,22.55
1992,25.32
1993,28.17
1994,22.09
1995,19.57
1996,23.24
1997,24.68
1998,27.19
1999,22.7
2000,14.7
2001,17.69
2002,31.56
2003,20.91
2004,24.97
2005,19.24
2006,23.91
2007,22.71
2008,19.53
2009,25.21
2010,19.27
2011,19.39
2012,19.32
2013,28.71
2014,17.53
2015,19.63
2016,17.37
2017,33.22
2018,29.06
2019,30.48
2020,26.01
2021,25.03
2022,22.31
2023,19.07
2024,36.1
