"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,52.08
1951,48.02
1952,61.65
1953,84.75
1954,72.49
1955,51.52
1956,60.97
1957,37.64
1958,43.14
1959,43.94
1960,39.39
1961,52.64
1962,37.97
1963,47.48
1964,66.2
1965,41.31
1966,37.11
1967,38.29
1968,46.52
1969,89.13
1970,42.03
1971,31.66
1972,45.07
1973,59.85
1974,50.64
1975,46.35
1976,43.25
1977,62.69
1978,39.6
1979,44.9
1980,35.53
1981,50.13
1982,37.48
1983,43.8
1984,39.93
1985,45.6
1986,40.53
1987,58
1988,47.6
1989,55.22
1990,42.6
1991,59.35
1992,53.4
1993,80.4
1994,45.28
1995,40.41
1996,56.92
1997,57.73
1998,71.99
1999,34.58
2000,26.26
2001,33.81
2002,54.21
2003,51.89
2004,60.41
2005,44.5
2006,37.75
2007,56.75
2008,35.3
2009,52.71
2010,38.34
2011,50.56
2012,39.1
2013,45.76
2014,55.05
2015,51.17
2016,38.79
2017,73.67
2018,38.39
2019,57.03
2020,59.93
2021,51.21
2022,52
2023,45.58
2024,48.57
