"Category","Precipitation amount during wettest days (mm)"
1950,5.85
1951,15.79
1952,7.87
1953,26.43
1954,17.36
1955,15.59
1956,23.81
1957,9.63
1958,10.9
1959,12.98
1960,8.67
1961,23.04
1962,9.65
1963,9.69
1964,18.91
1965,21.22
1966,8.19
1967,10.43
1968,5.66
1969,28.98
1970,9.87
1971,4.99
1972,6.04
1973,19.46
1974,17.33
1975,21.59
1976,8.71
1977,8.08
1978,10.33
1979,12.56
1980,13.65
1981,11.02
1982,5.26
1983,6.91
1984,10.91
1985,11.6
1986,18.86
1987,13.27
1988,13.04
1989,10.02
1990,3.48
1991,13.77
1992,9.89
1993,16.51
1994,8.39
1995,5.39
1996,8.44
1997,15.85
1998,19.3
1999,9.33
2000,1.53
2001,4.81
2002,21.82
2003,14.36
2004,19.78
2005,7.45
2006,9.91
2007,13.7
2008,7.86
2009,15.04
2010,6.1
2011,8.87
2012,5.67
2013,14.85
2014,5.27
2015,8.37
2016,3.72
2017,16.77
2018,10.21
2019,12.3
2020,10.32
2021,14.22
2022,9.04
2023,11.3
2024,22.15
