"Category","Relative Humidity (%)"
1950,50.69
1951,56.89
1952,55.93
1953,58.44
1954,55.91
1955,50.81
1956,51.33
1957,56.1
1958,53.3
1959,58.2
1960,59.2
1961,52.8
1962,55.78
1963,57.12
1964,57.77
1965,56.27
1966,53.45
1967,57.47
1968,58.44
1969,63.13
1970,56.82
1971,52.59
1972,59.03
1973,56.85
1974,56.95
1975,54.41
1976,58.83
1977,58.97
1978,59.85
1979,58.35
1980,58.95
1981,60.25
1982,59.16
1983,57.19
1984,58.88
1985,58.02
1986,56.07
1987,60.54
1988,59
1989,57.73
1990,59.23
1991,61.45
1992,61.53
1993,62.13
1994,59.6
1995,56.74
1996,56.49
1997,60.69
1998,61.68
1999,58.88
2000,55.58
2001,56.06
2002,61.35
2003,62.13
2004,59.73
2005,57.91
2006,57.29
2007,57.92
2008,58.73
2009,60.55
2010,56.81
2011,56.75
2012,57.18
2013,54.84
2014,55.69
2015,56.75
2016,55.95
2017,53.78
2018,53.28
2019,57.18
2020,57.44
2021,50.39
2022,56.54
2023,50.41
2024,56.15
