"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,20.84,20.81
1902,21.17,20.53
1903,19.48,20.27
1904,20,20.06
1905,19.62,19.94
1906,20.44,19.93
1907,19.47,20.05
1908,20.48,20.27
1909,21.89,20.55
1910,20.68,20.82
1911,20.07,21.03
1912,20.91,21.12
1913,20.34,21.07
1914,21.23,20.92
1915,22.05,20.7
1916,19.87,20.47
1917,21.42,20.25
1918,19.73,20.1
1919,20.1,20
1920,18.15,19.95
1921,19.58,19.96
1922,21.09,20
1923,19.54,20.07
1924,20.08,20.16
1925,21.5,20.22
1926,20.72,20.24
1927,20.53,20.17
1928,19.07,19.99
1929,19.1,19.69
1930,19.09,19.36
1931,18.72,19.05
1932,19.25,18.85
1933,19.69,18.83
1934,18.44,19.04
1935,19.48,19.44
1936,20.66,19.94
1937,19.76,20.46
1938,20.77,20.91
1939,21.13,21.21
1940,21.6,21.34
1941,22.19,21.33
1942,20.85,21.22
1943,19.71,21.04
1944,21.47,20.83
1945,19.94,20.6
1946,20.73,20.39
1947,21.45,20.19
1948,20.65,20.04
1949,18.75,19.93
1950,19.51,19.89
1951,19.81,19.9
1952,20.11,19.94
1953,20.04,20
1954,19.21,20.06
1955,21.7,20.09
1956,20.3,20.1
1957,18.96,20.11
1958,20.6,20.12
1959,19.66,20.15
1960,19.75,20.21
1961,21.18,20.31
1962,20.4,20.43
1963,21.31,20.54
1964,19.32,20.6
1965,20.75,20.6
1966,21.15,20.52
1967,20.23,20.36
1968,20.25,20.18
1969,18.39,20
1970,20.99,19.87
1971,21.42,19.81
1972,18.1,19.85
1973,20.58,19.94
1974,19.43,20.06
1975,20.54,20.18
1976,19.68,20.28
1977,20.65,20.34
1978,20.32,20.36
1979,20.69,20.37
1980,20.69,20.38
1981,20.83,20.41
1982,19.72,20.48
1983,21.38,20.57
1984,19.47,20.66
1985,20.49,20.73
1986,20.69,20.75
1987,20.6,20.7
1988,21.34,20.59
1989,20.53,20.45
1990,20.95,20.32
1991,20.29,20.23
1992,19.95,20.23
1993,19.29,20.33
1994,20.33,20.51
1995,21.87,20.73
1996,20.37,20.96
1997,21.47,21.17
1998,20.84,21.31
1999,21.6,21.4
2000,21.65,21.43
2001,21.72,21.44
2002,21.59,21.42
2003,20.4,21.4
2004,21.75,21.38
2005,21.44,21.37
2006,21.37,21.35
2007,21.56,21.34
2008,20.98,21.33
2009,21.2,21.32
2010,22.16,21.31
2011,20.86,21.31
2012,20.75,21.32
2013,21.9,21.35
2014,20.85,21.4
2015,21.68,21.47
2016,22.17,21.56
2017,21.51,21.65
2018,21.6,21.75
2019,22.04,21.85
2020,20.93,21.94
2021,22.59,22.03
2022,22.03,22.12
2023,23.05,22.2
2024,21.69,22.29
