"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.84,13.93
1902,14.34,13.69
1903,12.78,13.47
1904,13.23,13.3
1905,13.07,13.2
1906,13.71,13.19
1907,12.88,13.28
1908,13.69,13.47
1909,14.51,13.71
1910,13.79,13.94
1911,13.08,14.13
1912,13.85,14.22
1913,13.93,14.2
1914,14.71,14.1
1915,15.33,13.93
1916,13.08,13.75
1917,14.48,13.56
1918,12.85,13.4
1919,12.89,13.28
1920,11.97,13.2
1921,13.09,13.16
1922,14.21,13.17
1923,12.84,13.23
1924,13.22,13.32
1925,14.14,13.41
1926,13.88,13.46
1927,13.82,13.46
1928,12.73,13.37
1929,12.49,13.18
1930,12.72,12.94
1931,12.66,12.72
1932,12.93,12.56
1933,13.29,12.52
1934,12.19,12.64
1935,12.92,12.89
1936,13.56,13.22
1937,12.75,13.57
1938,13.8,13.89
1939,14.16,14.12
1940,14.62,14.24
1941,15.12,14.26
1942,13.98,14.21
1943,13,14.09
1944,14.35,13.92
1945,13.11,13.71
1946,13.59,13.49
1947,14.35,13.29
1948,13.61,13.13
1949,12.21,13.03
1950,12.44,13.03
1951,13.16,13.09
1952,13.48,13.2
1953,13.65,13.32
1954,12.65,13.43
1955,14.54,13.48
1956,13.51,13.49
1957,12.46,13.47
1958,14.01,13.45
1959,13.23,13.46
1960,13.15,13.51
1961,14.26,13.61
1962,13.73,13.74
1963,14.54,13.87
1964,12.69,13.97
1965,14.1,14
1966,14.45,13.94
1967,13.77,13.8
1968,13.84,13.63
1969,12.28,13.47
1970,14.21,13.34
1971,14.52,13.29
1972,11.81,13.32
1973,13.94,13.41
1974,12.99,13.54
1975,13.89,13.68
1976,13.38,13.81
1977,14.31,13.9
1978,13.94,13.97
1979,14.26,14.02
1980,14.25,14.06
1981,14.56,14.09
1982,13.49,14.13
1983,14.78,14.17
1984,13.18,14.21
1985,13.98,14.23
1986,14.23,14.23
1987,14.23,14.2
1988,14.82,14.14
1989,13.89,14.07
1990,14.52,14.01
1991,14.14,13.98
1992,13.85,13.98
1993,13.27,14.04
1994,13.94,14.15
1995,15.06,14.28
1996,13.76,14.43
1997,14.91,14.58
1998,14.47,14.72
1999,15.16,14.84
2000,15.09,14.94
2001,15.15,15.01
2002,15.03,15.06
2003,14.36,15.07
2004,15.45,15.05
2005,15.04,15.02
2006,14.98,14.97
2007,15.03,14.92
2008,14.46,14.88
2009,14.95,14.86
2010,15.59,14.86
2011,14.58,14.87
2012,14.29,14.89
2013,15.45,14.93
2014,14.21,14.98
2015,15.38,15.04
2016,15.79,15.11
2017,15.02,15.2
2018,15.17,15.3
2019,15.7,15.41
2020,14.64,15.54
2021,15.83,15.68
2022,16.04,15.83
2023,16.6,15.99
2024,15.69,16.14
