"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,6.87,7.09
1902,7.54,6.89
1903,6.1,6.72
1904,6.5,6.58
1905,6.54,6.49
1906,7.02,6.48
1907,6.31,6.56
1908,6.96,6.71
1909,7.17,6.9
1910,6.93,7.1
1911,6.12,7.26
1912,6.83,7.36
1913,7.55,7.37
1914,8.23,7.31
1915,8.64,7.2
1916,6.33,7.06
1917,7.57,6.9
1918,5.99,6.74
1919,5.72,6.6
1920,5.82,6.48
1921,6.64,6.41
1922,7.38,6.38
1923,6.17,6.42
1924,6.4,6.51
1925,6.83,6.62
1926,7.07,6.73
1927,7.15,6.79
1928,6.41,6.78
1929,5.91,6.69
1930,6.38,6.56
1931,6.63,6.42
1932,6.64,6.3
1933,6.94,6.24
1934,5.98,6.27
1935,6.39,6.38
1936,6.49,6.54
1937,5.77,6.73
1938,6.87,6.91
1939,7.22,7.06
1940,7.67,7.17
1941,8.08,7.23
1942,7.15,7.24
1943,6.32,7.18
1944,7.27,7.05
1945,6.33,6.85
1946,6.49,6.63
1947,7.28,6.42
1948,6.6,6.25
1949,5.7,6.17
1950,5.4,6.2
1951,6.55,6.32
1952,6.88,6.5
1953,7.3,6.68
1954,6.12,6.83
1955,7.42,6.91
1956,6.76,6.92
1957,6,6.88
1958,7.45,6.83
1959,6.84,6.8
1960,6.58,6.84
1961,7.37,6.95
1962,7.11,7.1
1963,7.82,7.25
1964,6.09,7.38
1965,7.5,7.44
1966,7.81,7.4
1967,7.35,7.29
1968,7.47,7.13
1969,6.21,6.97
1970,7.47,6.85
1971,7.65,6.8
1972,5.55,6.83
1973,7.32,6.93
1974,6.59,7.06
1975,7.26,7.22
1976,7.11,7.37
1977,8,7.5
1978,7.61,7.62
1979,7.86,7.71
1980,7.86,7.77
1981,8.32,7.81
1982,7.3,7.83
1983,8.21,7.82
1984,6.92,7.8
1985,7.52,7.77
1986,7.8,7.74
1987,7.91,7.73
1988,8.35,7.73
1989,7.28,7.73
1990,8.13,7.75
1991,8.03,7.77
1992,7.8,7.79
1993,7.28,7.8
1994,7.6,7.83
1995,8.28,7.87
1996,7.18,7.93
1997,8.38,8.02
1998,8.15,8.15
1999,8.76,8.31
2000,8.56,8.48
2001,8.61,8.63
2002,8.52,8.74
2003,8.38,8.78
2004,9.21,8.77
2005,8.67,8.71
2006,8.64,8.63
2007,8.54,8.54
2008,7.98,8.47
2009,8.75,8.44
2010,9.04,8.44
2011,8.34,8.46
2012,7.87,8.5
2013,9.05,8.55
2014,7.61,8.6
2015,9.12,8.65
2016,9.46,8.71
2017,8.57,8.79
2018,8.79,8.89
2019,9.42,9.03
2020,8.38,9.19
2021,9.1,9.38
2022,10.1,9.59
2023,10.19,9.81
2024,9.73,10.04
