"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,222.61,254.79
1902,289.8,260
1903,292.17,265.38
1904,269.16,271.1
1905,209.08,277.32
1906,317.59,284.21
1907,362.4,291.85
1908,321.72,299.2
1909,219.66,304.42
1910,236.38,305.72
1911,344.87,301.28
1912,260.23,289.27
1913,317.03,270.27
1914,320.76,248.66
1915,213.96,229.18
1916,245.87,216.57
1917,64.23,215.67
1918,255.9,229.54
1919,291.26,253.77
1920,327.83,281.9
1921,296.41,307.22
1922,281.71,323.24
1923,355.96,323.92
1924,359.12,310.1
1925,212.84,288.04
1926,286.55,264.02
1927,185.39,244.33
1928,252.54,235.23
1929,245.85,239.42
1930,231.83,252.7
1931,373.4,270.13
1932,253.64,286.85
1933,310.18,297.81
1934,352.85,299.24
1935,240.15,292.94
1936,205.8,282.51
1937,243.79,271.65
1938,275.46,263.96
1939,277.4,262.89
1940,268.25,268.42
1941,322.81,277.57
1942,336,287.28
1943,364.54,294.53
1944,187.88,296.25
1945,339.4,291.27
1946,186.26,282.38
1947,260.9,272.88
1948,242.76,266.03
1949,352.97,265.17
1950,198.36,272.8
1951,291.45,286.9
1952,370.97,303.8
1953,421.98,319.68
1954,284.56,330.9
1955,263.22,333.89
1956,297.11,328.52
1957,303.09,317.97
1958,347.79,305.49
1959,278.29,294.35
1960,320.21,287.8
1961,266.83,287.74
1962,284.77,292.59
1963,345.11,300.35
1964,347.31,308.99
1965,269,316.43
1966,224.35,320.91
1967,324.5,322.12
1968,319.27,320.4
1969,533.68,316.12
1970,264.57,309.62
1971,159.42,301.27
1972,344.32,291.95
1973,267.4,283.18
1974,279.45,276.43
1975,223.07,273.19
1976,322.63,274.97
1977,290.05,282.19
1978,301.92,292.31
1979,304.99,302.33
1980,292.61,309.26
1981,354.03,310.04
1982,293.55,302.28
1983,238.88,288.25
1984,283.55,272.39
1985,249.5,259.28
1986,213.05,253.37
1987,354.97,259.02
1988,282.88,276.33
1989,237.35,300.11
1990,292.91,324.98
1991,386.18,345.57
1992,380.82,356.49
1993,437.12,354.47
1994,309.01,343.07
1995,215.96,327.11
1996,227.16,311.38
1997,373.87,300.78
1998,432.43,299.51
1999,318.46,306.55
2000,257.12,318.11
2001,230.63,330.28
2002,384.6,339.25
2003,387.37,341.23
2004,346.37,335.33
2005,318.85,324.61
2006,283.53,312.33
2007,294.53,301.77
2008,252.67,296.2
2009,406.05,297.79
2010,266.59,304.63
2011,289.96,313.96
2012,336.53,323.06
2013,327.95,329.1
2014,317.94,329.61
2015,340,324.96
2016,337.15,317.19
2017,278.11,308.41
2018,248.09,300.69
2019,385.18,296.1
2020,322.76,295.59
2021,203.54,298.45
2022,376,303.84
2023,237.25,310.93
2024,357.93,318.87
