"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,0.05
1952,0.8
1953,0.9
1954,1.76
1955,0.1
1956,0.29
1957,-0.3
1958,0.76
1959,0.83
1960,0.82
1961,-0.57
1962,-0.78
1963,0.16
1964,1.07
1965,-0.13
1966,-0.63
1967,-0.45
1968,0.3
1969,2.15
1970,0.4
1971,-1.04
1972,0.19
1973,0.48
1974,-0.54
1975,-1.81
1976,-0.3
1977,-0.65
1978,0.79
1979,1.3
1980,-0.19
1981,0.27
1982,-0.4
1983,-0.65
1984,-0.19
1985,0.34
1986,-1.06
1987,0.79
1988,0.52
1989,-0.66
1990,0.13
1991,0.25
1992,0.76
1993,1.13
1994,0.99
1995,-0.44
1996,-0.38
1997,-0.32
1998,1
1999,0.4
2000,-1.17
2001,-1.09
2002,0.91
2003,1.45
2004,0.6
2005,0.06
2006,-1.39
2007,-0.69
2008,-1.3
2009,0.21
2010,0.53
2011,-1.57
2012,-0.11
2013,-0.8
2014,-0.47
2015,-0.56
2016,-0.72
2017,-0.1
2018,-1.17
2019,-0.16
2020,-0.51
2021,-1.62
2022,-1.21
2023,-0.9
2024,-1.05
