"Category","Average Largest 1-Day Precipitation (mm)"
1950,16.94
1951,25.79
1952,21.53
1953,33.7
1954,24.22
1955,27.81
1956,24.88
1957,23.13
1958,22.34
1959,24.73
1960,26.52
1961,22.12
1962,19.73
1963,17.87
1964,26.14
1965,42.73
1966,25.42
1967,28.22
1968,23.84
1969,29
1970,22.98
1971,25.53
1972,17.6
1973,21.55
1974,19.44
1975,18.91
1976,22.31
1977,44.15
1978,24.37
1979,28
1980,15.6
1981,20.22
1982,19.04
1983,19.65
1984,23.31
1985,28.91
1986,20.26
1987,23.95
1988,18.41
1989,20.97
1990,18.06
1991,18.77
1992,26.69
1993,21.88
1994,23.7
1995,18.18
1996,17.55
1997,21.16
1998,33.54
1999,23.52
2000,15.76
2001,23.32
2002,38.63
2003,31.49
2004,27.11
2005,29.75
2006,18.55
2007,24.97
2008,21.18
2009,24.22
2010,20.35
2011,19.79
2012,17.84
2013,22.22
2014,19.03
2015,18.49
2016,15.09
2017,25.21
2018,34.72
2019,18.25
2020,24.92
2021,29.31
2022,24.11
2023,19.44
2024,25.66
