"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,39.65
1951,44.57
1952,38.11
1953,54.41
1954,54.46
1955,44.79
1956,53.74
1957,42.18
1958,52.83
1959,56.77
1960,37.92
1961,37.22
1962,41.25
1963,39.17
1964,46.52
1965,54.95
1966,41.41
1967,59
1968,43.15
1969,60.86
1970,33.21
1971,40.35
1972,40.79
1973,38.29
1974,37.28
1975,37.04
1976,40.09
1977,88.12
1978,45.62
1979,66.89
1980,27.98
1981,37.65
1982,32.55
1983,27.34
1984,43.54
1985,42.97
1986,28.76
1987,60.45
1988,37.71
1989,53.27
1990,30.17
1991,58.99
1992,39.93
1993,51.06
1994,32.54
1995,31.66
1996,38.92
1997,45.1
1998,66
1999,35.08
2000,27.69
2001,26.98
2002,51.22
2003,76.21
2004,58.53
2005,43.95
2006,42.65
2007,55.46
2008,34.01
2009,37.94
2010,37.2
2011,54.23
2012,44.05
2013,40.49
2014,40.65
2015,47.3
2016,36.05
2017,54.2
2018,41.36
2019,44.64
2020,48.7
2021,62.99
2022,59.29
2023,50.45
2024,44.95
