"Category","Precipitation amount during wettest days (mm)"
1950,3.06
1951,15.89
1952,9.31
1953,15.64
1954,16.47
1955,23.77
1956,12.67
1957,9.56
1958,13.41
1959,13.8
1960,9.86
1961,14.52
1962,7.74
1963,5.45
1964,14.05
1965,16.95
1966,15.93
1967,17.16
1968,15.88
1969,24.53
1970,9
1971,14.68
1972,3.94
1973,15.61
1974,6.98
1975,8.11
1976,20.39
1977,19.03
1978,14.9
1979,26.12
1980,1.8
1981,6.31
1982,11.46
1983,6.41
1984,10.81
1985,10.75
1986,6.83
1987,23.75
1988,7.07
1989,9.61
1990,5.44
1991,6.61
1992,16.14
1993,12.09
1994,13.47
1995,10.33
1996,2.92
1997,11.75
1998,18.5
1999,16.8
2000,0.05
2001,8.58
2002,20.3
2003,18.21
2004,14.31
2005,17.17
2006,8.18
2007,10.4
2008,10.01
2009,12.89
2010,11.42
2011,5.93
2012,6.66
2013,12.08
2014,4.64
2015,3.64
2016,1.35
2017,9.19
2018,13.14
2019,2.82
2020,14.87
2021,13.75
2022,14
2023,9.05
2024,12.77
