"Category","Relative Humidity (%)"
1950,51.86
1951,58.79
1952,57.58
1953,58.07
1954,58.62
1955,50.6
1956,53.48
1957,56.84
1958,53.3
1959,58.83
1960,59.63
1961,49.95
1962,53.64
1963,54.08
1964,56.83
1965,54.31
1966,53.68
1967,55.27
1968,56.03
1969,65.26
1970,55.37
1971,52.48
1972,59.68
1973,56.21
1974,54.48
1975,49.07
1976,58.13
1977,56.48
1978,59.92
1979,60.64
1980,57.63
1981,57.09
1982,57.43
1983,51.92
1984,58.62
1985,56.25
1986,53.95
1987,60.41
1988,56.64
1989,55.53
1990,59.67
1991,58.36
1992,58.49
1993,62.14
1994,58.41
1995,54.22
1996,56.08
1997,57.73
1998,60.34
1999,55.29
2000,55.08
2001,54.07
2002,62.32
2003,62.09
2004,57.46
2005,55.75
2006,55.13
2007,58.46
2008,57.91
2009,58.11
2010,57.74
2011,56.17
2012,55.69
2013,53.39
2014,54.97
2015,54.85
2016,54.68
2017,53.73
2018,53.54
2019,53.49
2020,54.05
2021,47.73
2022,55.88
2023,51.98
2024,54.43
