"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.04
1952,0.05
1953,0.04
1954,0.02
1955,0.11
1956,0.07
1957,0.05
1958,0.1
1959,0.01
1960,0.03
1961,0.1
1962,0.1
1963,0.07
1964,0.02
1965,0.06
1966,0.09
1967,0.08
1968,0.1
1969,0.03
1970,0.07
1971,0.06
1972,0.02
1973,0.07
1974,0.11
1975,0.14
1976,0.07
1977,0.12
1978,0.04
1979,0.05
1980,0.09
1981,0.07
1982,0.05
1983,0.14
1984,0.08
1985,0.08
1986,0.06
1987,0.04
1988,0.13
1989,0.08
1990,0.07
1991,0.06
1992,0.03
1993,0.06
1994,0.06
1995,0.1
1996,0.08
1997,0.14
1998,0.12
1999,0.1
2000,0.08
2001,0.09
2002,0.07
2003,0.04
2004,0.1
2005,0.14
2006,0.1
2007,0.08
2008,0.11
2009,0.07
2010,0.1
2011,0.13
2012,0.08
2013,0.15
2014,0.16
2015,0.18
2016,0.16
2017,0.15
2018,0.16
2019,0.21
2020,0.13
2021,0.28
2022,0.17
2023,0.18
2024,0.19
