"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,22.52,22.52
1902,22.96,22.3
1903,21.27,22.1
1904,22.03,21.94
1905,21.47,21.86
1906,22.34,21.86
1907,21.39,21.98
1908,22.53,22.19
1909,23.69,22.44
1910,22.46,22.69
1911,21.91,22.88
1912,22.71,22.97
1913,22.35,22.93
1914,23.18,22.8
1915,23.89,22.61
1916,21.76,22.39
1917,23.28,22.17
1918,21.67,22
1919,22.13,21.86
1920,19.84,21.77
1921,21.27,21.73
1922,22.68,21.74
1923,21.4,21.8
1924,21.98,21.89
1925,23.3,21.98
1926,22.37,22.02
1927,22.3,21.98
1928,20.89,21.83
1929,20.98,21.57
1930,21,21.25
1931,20.71,20.96
1932,21.11,20.77
1933,21.7,20.75
1934,20.27,20.96
1935,21.38,21.34
1936,22.58,21.82
1937,21.6,22.32
1938,22.57,22.74
1939,22.97,23.02
1940,23.41,23.13
1941,24.05,23.11
1942,22.5,22.99
1943,21.55,22.8
1944,23.18,22.58
1945,21.68,22.36
1946,22.5,22.14
1947,23.19,21.95
1948,22.41,21.8
1949,20.57,21.7
1950,21.3,21.66
1951,21.51,21.66
1952,21.88,21.71
1953,21.8,21.76
1954,20.95,21.82
1955,23.42,21.86
1956,22.2,21.88
1957,20.81,21.89
1958,22.24,21.9
1959,21.53,21.94
1960,21.4,22
1961,22.96,22.1
1962,22.29,22.21
1963,23.11,22.31
1964,21.13,22.37
1965,22.55,22.36
1966,22.82,22.26
1967,21.95,22.1
1968,21.92,21.92
1969,20.13,21.74
1970,22.68,21.6
1971,23.21,21.55
1972,19.87,21.58
1973,22.35,21.67
1974,21.19,21.8
1975,22.29,21.92
1976,21.43,22.03
1977,22.38,22.09
1978,22.06,22.12
1979,22.37,22.13
1980,22.46,22.14
1981,22.5,22.17
1982,21.63,22.22
1983,23.11,22.3
1984,21.23,22.37
1985,22.14,22.43
1986,22.45,22.44
1987,22.15,22.4
1988,23.09,22.3
1989,22.22,22.18
1990,22.71,22.06
1991,22.07,21.98
1992,21.79,21.98
1993,20.93,22.06
1994,22.03,22.21
1995,23.49,22.4
1996,21.95,22.61
1997,23.25,22.8
1998,22.56,22.96
1999,23.21,23.06
2000,23.22,23.13
2001,23.53,23.17
2002,23.33,23.18
2003,22.21,23.18
2004,23.53,23.17
2005,23.21,23.15
2006,23.17,23.13
2007,23.36,23.12
2008,22.72,23.11
2009,23.09,23.12
2010,23.91,23.13
2011,22.71,23.17
2012,22.54,23.21
2013,23.94,23.28
2014,22.85,23.36
2015,23.61,23.45
2016,24.21,23.56
2017,23.41,23.66
2018,23.59,23.76
2019,24.17,23.86
2020,23.09,23.94
2021,24.51,24.01
2022,23.78,24.08
2023,24.89,24.14
2024,23.78,24.2
