"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,8.74,9.09
1902,9.6,8.85
1903,8.07,8.64
1904,8.39,8.47
1905,8.47,8.36
1906,8.99,8.35
1907,8.18,8.44
1908,8.6,8.62
1909,9.1,8.85
1910,8.94,9.08
1911,8.16,9.28
1912,9.01,9.39
1913,9.48,9.4
1914,10.19,9.33
1915,10.73,9.2
1916,8.36,9.04
1917,9.69,8.86
1918,7.78,8.7
1919,7.51,8.56
1920,7.92,8.46
1921,8.63,8.4
1922,9.49,8.4
1923,8.09,8.45
1924,8.45,8.56
1925,8.87,8.68
1926,9.32,8.79
1927,9.19,8.86
1928,8.43,8.85
1929,7.91,8.76
1930,8.4,8.61
1931,8.69,8.46
1932,8.74,8.33
1933,8.92,8.26
1934,8.04,8.28
1935,8.39,8.39
1936,8.39,8.54
1937,7.75,8.72
1938,8.91,8.9
1939,9.26,9.04
1940,9.57,9.14
1941,10,9.19
1942,9.09,9.18
1943,8.31,9.12
1944,9.27,8.99
1945,8.26,8.8
1946,8.48,8.6
1947,9.17,8.4
1948,8.57,8.24
1949,7.7,8.16
1950,7.39,8.19
1951,8.53,8.29
1952,8.88,8.45
1953,9.31,8.62
1954,7.98,8.76
1955,9.31,8.84
1956,8.66,8.85
1957,7.95,8.83
1958,9.45,8.8
1959,8.84,8.79
1960,8.59,8.84
1961,9.37,8.95
1962,9.13,9.11
1963,9.82,9.26
1964,8.06,9.38
1965,9.5,9.43
1966,9.75,9.39
1967,9.37,9.27
1968,9.46,9.12
1969,8.28,8.97
1970,9.46,8.85
1971,9.63,8.82
1972,7.6,8.87
1973,9.33,8.98
1974,8.66,9.13
1975,9.36,9.3
1976,9.21,9.46
1977,10.07,9.59
1978,9.69,9.7
1979,9.95,9.78
1980,9.97,9.84
1981,10.33,9.87
1982,9.39,9.88
1983,10.24,9.88
1984,8.95,9.86
1985,9.56,9.83
1986,9.86,9.81
1987,10.03,9.78
1988,10.36,9.77
1989,9.26,9.76
1990,10.2,9.75
1991,10,9.75
1992,9.89,9.76
1993,9.19,9.77
1994,9.55,9.79
1995,10.14,9.84
1996,9.15,9.91
1997,10.37,10.01
1998,10.25,10.16
1999,10.79,10.33
2000,10.58,10.51
2001,10.66,10.67
2002,10.6,10.8
2003,10.42,10.86
2004,11.28,10.86
2005,10.75,10.81
2006,10.71,10.73
2007,10.67,10.65
2008,10.16,10.57
2009,10.73,10.52
2010,11.16,10.49
2011,10.35,10.47
2012,9.84,10.47
2013,10.93,10.48
2014,9.4,10.49
2015,11.13,10.51
2016,11.27,10.54
2017,10.49,10.59
2018,10.41,10.68
2019,11.16,10.81
2020,10.14,10.99
2021,10.92,11.21
2022,12.15,11.45
2023,12.15,11.71
2024,11.53,11.98
