"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,421.28,477.64
1902,571.52,460.93
1903,429.2,445.69
1904,401.73,433.37
1905,373.2,425.52
1906,420.08,423.57
1907,484.04,428.71
1908,547.07,438.71
1909,316.12,448.93
1910,407.12,454.76
1911,528.46,451.56
1912,392.05,434.71
1913,444.69,404.28
1914,434.17,367.82
1915,288.82,333.67
1916,327.08,310.1
1917,130.28,305.57
1918,372.75,325.57
1919,379.61,363.1
1920,521.65,407.73
1921,496.71,448.62
1922,407.1,475.31
1923,512.84,478.02
1924,484.57,458.18
1925,294.97,425.98
1926,370.19,391.62
1927,286.04,365.37
1928,476.13,357.42
1929,391.9,371.69
1930,398.64,400.09
1931,469.87,433.23
1932,485.62,461.8
1933,473.18,476.25
1934,487.31,469.55
1935,414.71,446.33
1936,341.63,414.94
1937,362.5,384.02
1938,349.06,361.91
1939,330.48,356.61
1940,368.55,368.07
1941,485.84,389.31
1942,521.63,413.21
1943,515.86,432.65
1944,245.29,440.53
1945,486.7,433.7
1946,306.39,417.59
1947,410.23,398.68
1948,362.72,383.42
1949,467.75,378.37
1950,264.96,388.59
1951,441.78,410.85
1952,500.89,438.98
1953,665.5,466.56
1954,396.37,487.39
1955,444.56,495.47
1956,394.77,490.23
1957,392.09,476.35
1958,551.79,458.66
1959,460.33,442.02
1960,538.6,431.22
1961,365.94,429.26
1962,420.96,434.4
1963,466.91,444.27
1964,453.87,456.55
1965,409.78,468.78
1966,392.91,478.82
1967,462.96,485.62
1968,499.36,488.69
1969,875.25,487.46
1970,386.22,481.43
1971,321.24,470.13
1972,506.05,454.79
1973,385.86,438.6
1974,314.93,424.7
1975,340.6,416.28
1976,468.86,416.53
1977,525.11,426.67
1978,535.01,442.59
1979,505.06,459.26
1980,395.8,471.69
1981,480.07,474.79
1982,433.07,464.51
1983,366.14,444.08
1984,458.17,420.06
1985,397.08,399.28
1986,313.61,388.34
1987,590.32,393.71
1988,391.46,415.69
1989,353.44,446.92
1990,461.71,479.77
1991,500.82,506.58
1992,501.68,519.69
1993,713.2,514.58
1994,491.87,496.73
1995,306.58,473.51
1996,332.68,452.22
1997,471.94,440.34
1998,655.1,444.2
1999,534.66,461.63
2000,355.28,485.94
2001,355.44,510.18
2002,593.89,527.62
2003,626.45,531.6
2004,563.03,520.66
2005,431.05,500.48
2006,455.04,477.13
2007,446.48,456.7
2008,405.82,445.29
2009,543.61,446.93
2010,437.3,458.1
2011,491.1,473.68
2012,458.9,488.62
2013,486.85,497.7
2014,477.74,496.38
2015,531.18,485.49
2016,493.66,469.09
2017,386.56,451.42
2018,411.04,436.58
2019,515.46,428.67
2020,433.47,429.55
2021,326.94,437.68
2022,605.3,451.24
2023,332.55,468.42
2024,539.12,487.47
