"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,0.52
1952,0.99
1953,0.98
1954,2.47
1955,0.04
1956,0.14
1957,0.06
1958,0.45
1959,0.15
1960,0.63
1961,-0.34
1962,-0.42
1963,0.14
1964,0.95
1965,0.35
1966,-0.69
1967,-0.33
1968,0.23
1969,2.43
1970,-0.32
1971,-1.87
1972,0.25
1973,0.9
1974,-0.58
1975,-0.25
1976,0.52
1977,-0.56
1978,0.25
1979,0.69
1980,-0.11
1981,0.37
1982,0.01
1983,0.09
1984,-0.22
1985,0.04
1986,-0.71
1987,0.7
1988,0.83
1989,-0.14
1990,0.33
1991,0.52
1992,1.79
1993,0.61
1994,0.09
1995,-0.25
1996,-0.29
1997,-0.34
1998,1.48
1999,0.3
2000,-1.53
2001,-2.11
2002,-0.51
2003,0.49
2004,-0.23
2005,0.1
2006,-0.85
2007,-0.77
2008,-1.37
2009,-0.02
2010,0.28
2011,-1.57
2012,0.54
2013,-0.82
2014,-0.63
2015,-0.21
2016,-0.67
2017,-0.48
2018,-1.72
2019,0.31
2020,-0.35
2021,-1.91
2022,-1.64
2023,-1.66
2024,-0.88
