"Category","Average Largest 1-Day Precipitation (mm)"
1950,21.31
1951,22.63
1952,20.13
1953,21.49
1954,26.21
1955,22.84
1956,28.92
1957,18.62
1958,26.64
1959,18.11
1960,23.19
1961,22.18
1962,17.42
1963,21.6
1964,22.37
1965,24.01
1966,18.13
1967,19.9
1968,21.92
1969,29.04
1970,21.4
1971,18.78
1972,20.07
1973,29.04
1974,25.87
1975,18.28
1976,29.72
1977,18.14
1978,24.09
1979,24.9
1980,17.9
1981,20.15
1982,23.84
1983,18.21
1984,21.19
1985,19.62
1986,17.75
1987,21.3
1988,28.23
1989,18.33
1990,16.45
1991,27.83
1992,21.8
1993,21.37
1994,24.9
1995,21.19
1996,18.57
1997,24.04
1998,28.31
1999,32.04
2000,16.63
2001,17.05
2002,26.5
2003,27.67
2004,20.34
2005,18.81
2006,22.17
2007,24.6
2008,16.91
2009,27.72
2010,19.78
2011,22.07
2012,22.75
2013,16.48
2014,20.53
2015,19.2
2016,17.89
2017,23.96
2018,21.75
2019,23.12
2020,20.85
2021,17.46
2022,19.96
2023,16.69
2024,19.05
