"Category","Precipitation amount during wettest days (mm)"
1950,10.22
1951,9.57
1952,9.64
1953,8.73
1954,12.42
1955,9.7
1956,15.32
1957,6.73
1958,9.37
1959,6.16
1960,11.06
1961,12.9
1962,7.74
1963,8.07
1964,9.53
1965,10.25
1966,6.14
1967,10.16
1968,7.94
1969,17.07
1970,7.58
1971,7.82
1972,7.14
1973,16.98
1974,8.2
1975,6.67
1976,14.17
1977,6.76
1978,12.3
1979,11.25
1980,5.66
1981,8.37
1982,10.46
1983,5.97
1984,7.45
1985,5.51
1986,5.77
1987,8.91
1988,17.35
1989,5.74
1990,3.44
1991,12.65
1992,7.74
1993,10.11
1994,7.33
1995,5.92
1996,5.82
1997,9.94
1998,21.34
1999,9.27
2000,5.1
2001,3.78
2002,14.54
2003,17.63
2004,7.33
2005,7.29
2006,6.41
2007,9.61
2008,4.82
2009,14.89
2010,6
2011,6.88
2012,7.55
2013,4.77
2014,6.91
2015,7.9
2016,7.77
2017,8.79
2018,8.97
2019,8.66
2020,7.05
2021,5.82
2022,8.08
2023,5.08
2024,8.37
