"Category","Relative Humidity (%)"
1950,48.25
1951,53.43
1952,51.36
1953,53.47
1954,52.1
1955,47.18
1956,46.28
1957,54
1958,49.39
1959,53.85
1960,54.56
1961,50.72
1962,52.58
1963,52.3
1964,53.2
1965,53.1
1966,49.67
1967,54.01
1968,55.31
1969,59.12
1970,49.91
1971,47.92
1972,56.06
1973,53.55
1974,52.08
1975,52
1976,53.89
1977,53.09
1978,53.23
1979,53.72
1980,53.03
1981,55.18
1982,54.86
1983,53.61
1984,54.67
1985,53.4
1986,52.71
1987,54.98
1988,54.15
1989,52.84
1990,55.76
1991,58.07
1992,56.13
1993,55.62
1994,54.27
1995,51.37
1996,53.41
1997,55.02
1998,56.62
1999,55.77
2000,49.64
2001,50.03
2002,54.26
2003,54.29
2004,52.75
2005,51.56
2006,52.42
2007,53.62
2008,52.6
2009,54.28
2010,51.6
2011,50.8
2012,53.51
2013,51.18
2014,51.89
2015,52.91
2016,49.78
2017,47.65
2018,47.88
2019,50.99
2020,50.73
2021,43.92
2022,50.61
2023,46.69
2024,51.12
