"Category","Temperature-based Excess Mortality (factor)"
1950,0.07
1951,0.04
1952,0.05
1953,0.06
1954,0.02
1955,0.12
1956,0.12
1957,0.03
1958,0.08
1959,0.05
1960,0.05
1961,0.06
1962,0.04
1963,0.03
1964,0.04
1965,0.03
1966,0.07
1967,0.05
1968,0.05
1969,0.03
1970,0.08
1971,0.06
1972,0.01
1973,0.09
1974,0.05
1975,0.09
1976,0.07
1977,0.12
1978,0.07
1979,0.08
1980,0.07
1981,0.04
1982,0.06
1983,0.12
1984,0.12
1985,0.07
1986,0.05
1987,0.03
1988,0.1
1989,0.04
1990,0.08
1991,0.03
1992,0.03
1993,0.05
1994,0.11
1995,0.09
1996,0.05
1997,0.11
1998,0.06
1999,0.05
2000,0.06
2001,0.09
2002,0.09
2003,0.08
2004,0.06
2005,0.07
2006,0.11
2007,0.07
2008,0.11
2009,0.06
2010,0.08
2011,0.16
2012,0.05
2013,0.13
2014,0.1
2015,0.13
2016,0.11
2017,0.13
2018,0.16
2019,0.16
2020,0.08
2021,0.17
2022,0.18
2023,0.22
2024,0.18
