"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.36,13.45
1902,13.81,13.2
1903,12.31,12.98
1904,12.72,12.8
1905,12.57,12.68
1906,13.21,12.66
1907,12.38,12.74
1908,13.03,12.92
1909,13.93,13.13
1910,13.15,13.36
1911,12.54,13.54
1912,13.36,13.65
1913,13.42,13.65
1914,14.16,13.58
1915,14.79,13.45
1916,12.59,13.29
1917,13.9,13.13
1918,12.56,12.98
1919,12.6,12.86
1920,11.62,12.78
1921,12.53,12.73
1922,13.68,12.73
1923,12.44,12.78
1924,12.79,12.85
1925,13.65,12.94
1926,13.41,12.99
1927,13.32,12.98
1928,12.24,12.88
1929,12.05,12.69
1930,12.2,12.45
1931,12.13,12.22
1932,12.42,12.06
1933,12.83,12.03
1934,11.78,12.15
1935,12.43,12.41
1936,13.01,12.74
1937,12.25,13.1
1938,13.36,13.42
1939,13.66,13.66
1940,14.24,13.8
1941,14.72,13.85
1942,13.6,13.82
1943,12.6,13.72
1944,13.94,13.56
1945,12.74,13.36
1946,13.27,13.14
1947,14.06,12.94
1948,13.23,12.77
1949,11.87,12.68
1950,12.09,12.67
1951,12.78,12.73
1952,13.09,12.84
1953,13.23,12.96
1954,12.35,13.06
1955,14.15,13.11
1956,13.16,13.1
1957,12.01,13.07
1958,13.61,13.04
1959,12.84,13.03
1960,12.72,13.06
1961,13.75,13.15
1962,13.23,13.27
1963,14.1,13.39
1964,12.16,13.48
1965,13.64,13.52
1966,14.03,13.46
1967,13.23,13.34
1968,13.41,13.19
1969,11.9,13.04
1970,13.83,12.93
1971,14.11,12.88
1972,11.41,12.91
1973,13.47,13
1974,12.6,13.12
1975,13.32,13.25
1976,12.96,13.37
1977,13.88,13.47
1978,13.59,13.54
1979,13.88,13.6
1980,13.88,13.64
1981,14.16,13.69
1982,12.99,13.74
1983,14.3,13.78
1984,12.82,13.82
1985,13.67,13.84
1986,13.79,13.84
1987,13.9,13.8
1988,14.41,13.74
1989,13.49,13.66
1990,14.07,13.59
1991,13.64,13.55
1992,13.39,13.55
1993,12.91,13.61
1994,13.58,13.71
1995,14.58,13.85
1996,13.37,14
1997,14.41,14.15
1998,14.08,14.3
1999,14.73,14.42
2000,14.66,14.52
2001,14.76,14.59
2002,14.59,14.63
2003,13.94,14.63
2004,14.96,14.6
2005,14.56,14.54
2006,14.53,14.47
2007,14.46,14.4
2008,14.03,14.35
2009,14.34,14.31
2010,14.94,14.3
2011,14.09,14.3
2012,13.77,14.33
2013,14.83,14.37
2014,13.72,14.42
2015,14.76,14.49
2016,15.23,14.58
2017,14.55,14.67
2018,14.76,14.79
2019,15.14,14.91
2020,14.08,15.05
2021,15.32,15.2
2022,15.63,15.35
2023,16.1,15.51
2024,15.22,15.67
