"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,6.39,6.54
1902,6.92,6.33
1903,5.53,6.13
1904,5.86,5.97
1905,5.88,5.87
1906,6.41,5.85
1907,5.66,5.91
1908,6.14,6.06
1909,6.69,6.24
1910,6.27,6.43
1911,5.58,6.59
1912,6.18,6.69
1913,6.85,6.7
1914,7.41,6.64
1915,7.81,6.54
1916,5.69,6.4
1917,6.85,6.25
1918,5.57,6.11
1919,5.34,5.99
1920,5.25,5.9
1921,5.9,5.84
1922,6.74,5.83
1923,5.63,5.87
1924,5.85,5.96
1925,6.3,6.06
1926,6.53,6.14
1927,6.5,6.19
1928,5.77,6.16
1929,5.38,6.06
1930,5.64,5.91
1931,5.96,5.76
1932,5.95,5.63
1933,6.26,5.58
1934,5.38,5.61
1935,5.81,5.73
1936,5.76,5.9
1937,5.17,6.11
1938,6.27,6.31
1939,6.57,6.49
1940,7.2,6.63
1941,7.56,6.72
1942,6.69,6.74
1943,5.79,6.7
1944,6.79,6.58
1945,5.84,6.38
1946,6.04,6.15
1947,6.8,5.92
1948,6.13,5.74
1949,5.17,5.65
1950,4.92,5.68
1951,5.98,5.8
1952,6.32,5.98
1953,6.75,6.17
1954,5.63,6.32
1955,6.88,6.4
1956,6.25,6.39
1957,5.49,6.33
1958,6.92,6.26
1959,6.26,6.22
1960,5.98,6.23
1961,6.69,6.32
1962,6.43,6.46
1963,7.2,6.61
1964,5.39,6.74
1965,6.9,6.8
1966,7.2,6.78
1967,6.67,6.69
1968,6.94,6.56
1969,5.77,6.42
1970,6.95,6.32
1971,7.13,6.28
1972,5.02,6.31
1973,6.69,6.4
1974,6.09,6.53
1975,6.6,6.68
1976,6.61,6.84
1977,7.51,6.97
1978,7.16,7.09
1979,7.38,7.19
1980,7.4,7.26
1981,7.81,7.31
1982,6.7,7.34
1983,7.63,7.34
1984,6.47,7.32
1985,7.12,7.3
1986,7.26,7.26
1987,7.5,7.23
1988,7.81,7.2
1989,6.76,7.17
1990,7.53,7.16
1991,7.33,7.15
1992,7.13,7.15
1993,6.74,7.16
1994,7.03,7.2
1995,7.56,7.25
1996,6.66,7.33
1997,7.69,7.45
1998,7.66,7.59
1999,8.18,7.76
2000,8.02,7.92
2001,8.06,8.06
2002,7.91,8.15
2003,7.75,8.17
2004,8.53,8.12
2005,8,8.02
2006,8.04,7.89
2007,7.63,7.76
2008,7.18,7.65
2009,7.73,7.59
2010,8.25,7.57
2011,7.5,7.58
2012,7.07,7.61
2013,8.23,7.65
2014,6.76,7.69
2015,8.1,7.74
2016,8.4,7.81
2017,7.56,7.89
2018,8,8.01
2019,8.53,8.16
2020,7.51,8.35
2021,8.34,8.57
2022,9.55,8.82
2023,9.48,9.09
2024,8.88,9.36
