"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,277.75,323.27
1902,361.62,337.86
1903,417.18,352.12
1904,378.14,365.78
1905,264.65,378.44
1906,417.67,389.82
1907,499.3,399.53
1908,431.46,406.6
1909,305.46,409.56
1910,343.4,406.99
1911,411.29,397.47
1912,396.91,379.53
1913,384.61,354.43
1914,410.16,327.58
1915,288.65,304.82
1916,323.1,292
1917,91.75,295.04
1918,364.54,317.55
1919,425.63,353.16
1920,443.93,392.74
1921,399.46,426.83
1922,393.98,446.32
1923,486.47,442.69
1924,479.41,417.6
1925,266.13,380.7
1926,382.55,341.63
1927,268.71,310.1
1928,284.65,295.72
1929,311.6,302.77
1930,306.24,325.09
1931,485.97,355.46
1932,331.77,386.74
1933,431.13,411.49
1934,493.73,423.97
1935,389.95,425.49
1936,298.28,419.68
1937,380.41,410.22
1938,395.99,400.76
1939,401.99,394.79
1940,380.65,392.91
1941,495.24,393.36
1942,477.76,394.25
1943,459.87,393.72
1944,244.2,389.89
1945,459.43,382.19
1946,251.74,372.69
1947,304.59,363.81
1948,362.1,357.97
1949,407.4,357.64
1950,313.94,364.66
1951,400.73,377.63
1952,471.72,393.98
1953,565.54,410.99
1954,363.3,426.08
1955,344.64,436.74
1956,379.11,442.4
1957,457.24,444.35
1958,429.22,443.97
1959,421.87,442.64
1960,539.87,441.74
1961,402.3,442.04
1962,424.46,442.89
1963,525.92,443.41
1964,487.99,442.72
1965,351.12,439.96
1966,338.72,434.4
1967,415.82,426.33
1968,439.28,416.42
1969,641.3,405.43
1970,318.37,394.04
1971,209.75,382.96
1972,485.91,372.93
1973,375.58,364.83
1974,296.55,359.48
1975,310.23,357.69
1976,424.83,360.33
1977,351.25,367.42
1978,419.21,376.89
1979,392.55,386.32
1980,362.15,393.27
1981,435.19,395.28
1982,405.15,390.43
1983,329.39,380.56
1984,366.06,369.3
1985,329.65,360.36
1986,331.65,357.36
1987,433.57,363.86
1988,415.01,379.94
1989,355.36,401.33
1990,378.84,423.67
1991,493.25,442.54
1992,483.22,453.57
1993,537.24,454.01
1994,394.74,446.6
1995,297.55,435.05
1996,342.91,423.04
1997,495.61,414.37
1998,585.61,412.3
1999,419.12,416.32
2000,348.79,423.92
2001,305.49,432.5
2002,514.51,439.52
2003,487.44,442.49
2004,452.92,440.82
2005,424.75,436.53
2006,408.06,431.83
2007,420.85,428.91
2008,350.96,429.96
2009,601.65,436.28
2010,389.65,445.95
2011,395.95,456.39
2012,520.02,465.01
2013,458.71,469.16
2014,463.08,466.58
2015,483.1,458.11
2016,458.72,446.46
2017,368.26,434.47
2018,352.64,424.88
2019,551.03,420.42
2020,473.06,422.29
2021,317.67,429.39
2022,528.75,440.39
2023,339.05,454
2024,527.55,468.96
