"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.82
1952,0.63
1953,0.35
1954,1.25
1955,-0.28
1956,0.12
1957,-0.71
1958,0.73
1959,0.35
1960,0.55
1961,-1.11
1962,-1.09
1963,0.35
1964,0.97
1965,-0.48
1966,-0.89
1967,-0.33
1968,0.18
1969,2.23
1970,0.48
1971,-1.2
1972,0.05
1973,0.28
1974,-0.65
1975,-1.52
1976,-0.71
1977,-0.7
1978,0.44
1979,1.04
1980,-0.14
1981,0.46
1982,-0.29
1983,-0.9
1984,-0.73
1985,0.09
1986,-1.1
1987,0.54
1988,0.31
1989,-0.52
1990,0.35
1991,0.04
1992,0.89
1993,1.16
1994,0.94
1995,-0.48
1996,-0.62
1997,0.16
1998,1.23
1999,0.63
2000,-0.8
2001,-0.99
2002,0.99
2003,1.45
2004,0.65
2005,0.48
2006,-0.68
2007,-0.26
2008,-1.37
2009,0.55
2010,0.86
2011,-1.24
2012,-0.07
2013,-0.67
2014,-0.52
2015,-0.41
2016,-0.27
2017,0.5
2018,-1.32
2019,-0.07
2020,-0.17
2021,-1.54
2022,-0.42
2023,-0.42
2024,0.04
