"Category","Average Largest 1-Day Precipitation (mm)"
1950,18.03
1951,27.25
1952,31.75
1953,27.21
1954,24.75
1955,32.09
1956,51.31
1957,27.17
1958,24.09
1959,31.24
1960,28.77
1961,22.96
1962,24.31
1963,26.52
1964,37.13
1965,52.54
1966,30.82
1967,32.83
1968,27.61
1969,36.95
1970,32.33
1971,27.57
1972,26.89
1973,20.8
1974,24.08
1975,21.51
1976,31.03
1977,28.56
1978,31.65
1979,45.06
1980,31.46
1981,29.01
1982,27.44
1983,19.14
1984,35.64
1985,32.27
1986,27.48
1987,40.64
1988,20.58
1989,28.97
1990,38.95
1991,24.82
1992,32.71
1993,29.16
1994,31.93
1995,20.28
1996,22.02
1997,32.37
1998,37.4
1999,41.6
2000,20.79
2001,22.66
2002,49.78
2003,33.39
2004,26.37
2005,31.36
2006,19.77
2007,31.01
2008,31.61
2009,43.65
2010,25.72
2011,22.08
2012,23.92
2013,28.17
2014,26.49
2015,29.26
2016,22.56
2017,30.48
2018,29.5
2019,26.12
2020,34.34
2021,25.07
2022,30.67
2023,29.48
2024,26.29
