"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,56.57
1951,60.6
1952,60.78
1953,64.16
1954,81.79
1955,67.81
1956,59.11
1957,41.96
1958,54.88
1959,81.93
1960,52.79
1961,51.84
1962,48.33
1963,86.95
1964,59.75
1965,73.43
1966,50.65
1967,69.74
1968,57.5
1969,73.1
1970,42.37
1971,45.17
1972,50.07
1973,45.33
1974,46.63
1975,46.28
1976,55
1977,83.13
1978,59.23
1979,54.84
1980,46.54
1981,69.87
1982,38.03
1983,37.28
1984,48.68
1985,52.29
1986,50.12
1987,77.98
1988,62.75
1989,68.21
1990,70.56
1991,80.37
1992,82.53
1993,88.47
1994,45.06
1995,34.21
1996,49.36
1997,71.21
1998,62.24
1999,64.98
2000,32.08
2001,40.37
2002,68.72
2003,86.03
2004,69.55
2005,57.21
2006,52.51
2007,52.2
2008,55.79
2009,63.55
2010,53.65
2011,58.2
2012,43.37
2013,34.65
2014,71.62
2015,49.24
2016,71.27
2017,69.66
2018,40.85
2019,67.6
2020,63.84
2021,50.71
2022,92.35
2023,48.31
2024,54.02
