"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,21.53,21.75
1902,22.21,21.5
1903,20.52,21.28
1904,21.43,21.11
1905,20.8,21.01
1906,21.47,21.01
1907,20.44,21.13
1908,21.57,21.35
1909,22.69,21.61
1910,21.51,21.87
1911,20.94,22.07
1912,22.3,22.18
1913,21.76,22.16
1914,22.32,22.05
1915,23.09,21.87
1916,21.18,21.66
1917,22.47,21.46
1918,21.08,21.29
1919,21.35,21.16
1920,18.98,21.07
1921,20.39,21.03
1922,22.23,21.04
1923,20.69,21.09
1924,21.2,21.18
1925,22.67,21.25
1926,21.75,21.28
1927,21.56,21.23
1928,20,21.05
1929,20.11,20.76
1930,20.11,20.41
1931,19.83,20.09
1932,20.25,19.86
1933,20.84,19.82
1934,19.36,20.01
1935,20.43,20.39
1936,21.52,20.87
1937,20.58,21.37
1938,21.75,21.81
1939,22.06,22.1
1940,22.53,22.23
1941,23.17,22.23
1942,21.58,22.13
1943,20.73,21.95
1944,22.33,21.74
1945,20.84,21.51
1946,21.65,21.29
1947,22.27,21.08
1948,21.6,20.92
1949,19.65,20.81
1950,20.44,20.77
1951,20.6,20.78
1952,21.01,20.83
1953,20.92,20.9
1954,20.1,20.96
1955,22.5,21
1956,21.42,21.01
1957,19.97,21.02
1958,21.31,21.03
1959,20.64,21.05
1960,20.5,21.11
1961,22.03,21.21
1962,21.44,21.32
1963,22.27,21.42
1964,20.22,21.48
1965,21.66,21.47
1966,21.93,21.38
1967,21.06,21.23
1968,21.04,21.04
1969,19.27,20.87
1970,21.82,20.73
1971,22.35,20.68
1972,19.03,20.72
1973,21.49,20.81
1974,20.28,20.93
1975,21.4,21.06
1976,20.59,21.17
1977,21.53,21.23
1978,21.23,21.26
1979,21.51,21.28
1980,21.67,21.29
1981,21.6,21.31
1982,20.75,21.37
1983,22.23,21.44
1984,20.34,21.5
1985,21.33,21.55
1986,21.59,21.57
1987,21.3,21.53
1988,22.2,21.44
1989,21.35,21.32
1990,21.83,21.21
1991,21.23,21.14
1992,20.91,21.12
1993,20.12,21.19
1994,21.15,21.32
1995,22.57,21.49
1996,21.04,21.67
1997,22.27,21.85
1998,21.58,22
1999,22.27,22.12
2000,22.32,22.21
2001,22.63,22.27
2002,22.39,22.3
2003,21.36,22.32
2004,22.69,22.31
2005,22.33,22.29
2006,22.35,22.27
2007,22.49,22.24
2008,21.85,22.21
2009,22.11,22.19
2010,22.95,22.19
2011,21.77,22.19
2012,21.57,22.22
2013,22.82,22.27
2014,21.82,22.34
2015,22.61,22.43
2016,23.21,22.53
2017,22.57,22.64
2018,22.58,22.75
2019,23.05,22.86
2020,22.02,22.95
2021,23.47,23.03
2022,22.9,23.11
2023,24,23.18
2024,22.78,23.25
