"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,14.65,14.87
1902,15.35,14.64
1903,13.78,14.44
1904,14.33,14.28
1905,14.07,14.19
1906,14.72,14.19
1907,13.86,14.29
1908,14.62,14.47
1909,15.41,14.7
1910,14.75,14.93
1911,14.06,15.12
1912,14.96,15.22
1913,14.98,15.22
1914,15.73,15.14
1915,16.39,14.99
1916,14.23,14.82
1917,15.59,14.65
1918,13.89,14.5
1919,13.99,14.38
1920,13.05,14.3
1921,14.05,14.26
1922,15.32,14.26
1923,13.98,14.32
1924,14.42,14.42
1925,15.27,14.51
1926,15,14.58
1927,14.88,14.58
1928,13.84,14.49
1929,13.55,14.29
1930,13.8,14.05
1931,13.8,13.82
1932,14.05,13.65
1933,14.42,13.6
1934,13.26,13.71
1935,13.94,13.96
1936,14.57,14.28
1937,13.78,14.63
1938,14.91,14.94
1939,15.22,15.16
1940,15.66,15.27
1941,16.16,15.3
1942,14.92,15.24
1943,14.06,15.12
1944,15.39,14.94
1945,14.13,14.73
1946,14.66,14.51
1947,15.32,14.31
1948,14.62,14.15
1949,13.25,14.05
1950,13.5,14.04
1951,14.12,14.1
1952,14.5,14.2
1953,14.6,14.32
1954,13.61,14.41
1955,15.5,14.47
1956,14.62,14.47
1957,13.47,14.46
1958,14.89,14.44
1959,14.29,14.45
1960,14.04,14.5
1961,15.23,14.61
1962,14.83,14.75
1963,15.6,14.89
1964,13.68,14.99
1965,15.18,15.03
1966,15.44,14.96
1967,14.8,14.83
1968,14.78,14.66
1969,13.34,14.49
1970,15.22,14.36
1971,15.56,14.32
1972,12.92,14.37
1973,14.98,14.48
1974,14.08,14.62
1975,14.95,14.78
1976,14.52,14.91
1977,15.36,15.01
1978,15.07,15.08
1979,15.32,15.12
1980,15.44,15.15
1981,15.55,15.18
1982,14.67,15.21
1983,15.81,15.25
1984,14.22,15.27
1985,15.02,15.29
1986,15.33,15.28
1987,15.28,15.25
1988,15.87,15.19
1989,14.9,15.12
1990,15.59,15.06
1991,15.13,15.02
1992,14.97,15.01
1993,14.26,15.05
1994,14.93,15.13
1995,15.94,15.24
1996,14.7,15.38
1997,15.88,15.52
1998,15.53,15.67
1999,16.1,15.82
2000,16.04,15.95
2001,16.24,16.06
2002,16.09,16.14
2003,15.49,16.18
2004,16.57,16.17
2005,16.15,16.14
2006,16.12,16.09
2007,16.16,16.04
2008,15.61,16
2009,16.04,15.97
2010,16.67,15.96
2011,15.7,15.97
2012,15.35,15.99
2013,16.57,16.03
2014,15.29,16.08
2015,16.53,16.14
2016,16.92,16.22
2017,16.14,16.31
2018,16.2,16.41
2019,16.85,16.53
2020,15.8,16.66
2021,16.91,16.8
2022,17.14,16.95
2023,17.7,17.11
2024,16.84,17.27
