"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,7.81,8.03
1902,8.52,7.82
1903,7.09,7.64
1904,7.28,7.49
1905,7.37,7.41
1906,8.01,7.4
1907,7.31,7.48
1908,7.72,7.65
1909,8.17,7.85
1910,8.06,8.06
1911,7.25,8.23
1912,7.64,8.33
1913,8.28,8.34
1914,9.2,8.28
1915,9.75,8.17
1916,7.33,8.03
1917,8.74,7.88
1918,6.74,7.75
1919,6.64,7.63
1920,7.15,7.55
1921,7.74,7.51
1922,8.46,7.52
1923,7.28,7.58
1924,7.66,7.69
1925,7.92,7.8
1926,8.31,7.91
1927,8.25,7.97
1928,7.71,7.96
1929,7.02,7.87
1930,7.52,7.73
1931,7.81,7.59
1932,7.88,7.47
1933,8.05,7.42
1934,7.21,7.45
1935,7.51,7.57
1936,7.65,7.74
1937,7.02,7.92
1938,8.12,8.11
1939,8.4,8.26
1940,8.84,8.36
1941,9.22,8.4
1942,8.29,8.4
1943,7.42,8.33
1944,8.5,8.19
1945,7.46,8
1946,7.71,7.78
1947,8.41,7.57
1948,7.69,7.41
1949,6.88,7.32
1950,6.57,7.35
1951,7.67,7.46
1952,8.06,7.61
1953,8.3,7.78
1954,7.16,7.91
1955,8.55,7.98
1956,7.87,7.98
1957,7.01,7.94
1958,8.52,7.9
1959,7.98,7.88
1960,7.63,7.93
1961,8.47,8.06
1962,8.25,8.23
1963,8.97,8.4
1964,7.18,8.54
1965,8.73,8.61
1966,8.98,8.58
1967,8.56,8.46
1968,8.56,8.3
1969,7.44,8.15
1970,8.66,8.03
1971,8.82,8
1972,6.85,8.06
1973,8.51,8.18
1974,7.9,8.35
1975,8.54,8.53
1976,8.48,8.69
1977,9.22,8.83
1978,8.95,8.93
1979,9.18,9.01
1980,9.26,9.06
1981,9.55,9.09
1982,8.62,9.1
1983,9.41,9.09
1984,8.12,9.08
1985,8.78,9.05
1986,9.09,9.03
1987,9.31,9
1988,9.58,8.98
1989,8.5,8.97
1990,9.41,8.96
1991,9.09,8.96
1992,9.08,8.96
1993,8.47,8.97
1994,8.75,8.99
1995,9.35,9.04
1996,8.39,9.11
1997,9.54,9.22
1998,9.48,9.37
1999,9.96,9.55
2000,9.8,9.74
2001,9.9,9.9
2002,9.83,10.03
2003,9.69,10.1
2004,10.53,10.1
2005,10,10.05
2006,9.95,9.97
2007,9.86,9.89
2008,9.4,9.83
2009,10.01,9.79
2010,10.47,9.78
2011,9.67,9.79
2012,9.17,9.81
2013,10.36,9.84
2014,8.8,9.87
2015,10.5,9.91
2016,10.68,9.95
2017,9.73,10.02
2018,9.87,10.12
2019,10.7,10.25
2020,9.65,10.42
2021,10.39,10.61
2022,11.41,10.83
2023,11.43,11.07
2024,10.93,11.31
