"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,544.5,599.87
1902,714.3,562.51
1903,463.2,527.93
1904,445.8,498.86
1905,437.6,478.24
1906,463.9,468.78
1907,545.1,472.82
1908,615.6,487.26
1909,350.3,505.16
1910,492.9,519.65
1911,584.7,523.82
1912,447.9,510.78
1913,517,479.69
1914,559.8,439.58
1915,326.6,400.45
1916,385.3,372.21
1917,180,365.02
1918,439.3,385.56
1919,416.6,425.89
1920,598.1,474.06
1921,615.9,517.65
1922,475.5,544.69
1923,563.4,543.96
1924,533.2,517.1
1925,328.5,475.77
1926,383,431.63
1927,321.3,396.43
1928,573.4,381.82
1929,392.9,392.64
1930,422.1,420.56
1931,449.8,455.83
1932,509.3,488.84
1933,527.3,509.64
1934,545.1,510.82
1935,463.1,496.22
1936,402.6,473.33
1937,426.2,449.84
1938,374.7,433.25
1939,416.3,430.7
1940,460.5,442.32
1941,585.8,462.14
1942,585.3,484.1
1943,580.9,502.13
1944,287.2,510.18
1945,578.1,505.5
1946,371.3,492.66
1947,503.1,477.08
1948,429.6,464.15
1949,565.9,459.37
1950,332.2,466.98
1951,494.9,484.41
1952,579.4,506.6
1953,758.4,528.33
1954,468.3,544.54
1955,464.5,550.35
1956,421.5,545.26
1957,414,533.08
1958,671.2,517.72
1959,578.4,503.1
1960,593,493.13
1961,375.5,490.32
1962,472.8,493.61
1963,556.5,501.44
1964,465.8,512.32
1965,451.6,524.63
1966,452.4,536.86
1967,532.4,547.5
1968,591.7,555.07
1969,1013.4,558.03
1970,440.4,554.9
1971,373.4,544.31
1972,558.9,527.31
1973,431.6,507.84
1974,373.7,489.8
1975,392.1,477.14
1976,546.1,473.81
1977,583.2,481.6
1978,592.8,496.27
1979,582.4,512.62
1980,475.3,525.47
1981,507.3,529.54
1982,500.2,520.61
1983,382.4,501.78
1984,504.3,479.59
1985,469.1,460.77
1986,399.9,451.87
1987,658.5,459.3
1988,424.4,483.21
1989,463.7,515.92
1990,542.3,549.55
1991,561.3,576.14
1992,516.3,587.75
1993,815.2,579.85
1994,608.8,558.86
1995,285,533.18
1996,415.3,511.21
1997,513.4,501.51
1998,749.6,511.26
1999,627,537.2
2000,412.7,570.55
2001,451.4,602.18
2002,690.9,623.25
2003,741.5,625.02
2004,632.4,605.83
2005,478.3,573.8
2006,526.1,537.56
2007,509,505.75
2008,450.8,487.03
2009,579.1,487.2
2010,507,501.51
2011,546.1,523
2012,460,544.78
2013,539.6,559.75
2014,537.7,561.67
2015,603.7,551.21
2016,600.2,533.1
2017,474.6,512.34
2018,488,493.75
2019,519.6,482.15
2020,443.2,479.79
2021,389.5,485.1
2022,659.8,496.13
2023,378.9,511
2024,581.5,527.82
