"Category","Relative Humidity (%)"
1950,51.42
1951,60.51
1952,58.29
1953,60.14
1954,59.24
1955,53.19
1956,54.74
1957,57.58
1958,56.83
1959,58.26
1960,59.58
1961,53.66
1962,57.02
1963,60.37
1964,56.04
1965,56.23
1966,56.91
1967,60.92
1968,58.92
1969,67.08
1970,56.96
1971,53.78
1972,61.28
1973,58.43
1974,57.64
1975,53.78
1976,61.22
1977,61.15
1978,62.17
1979,61.75
1980,60.81
1981,64.12
1982,60.79
1983,57.2
1984,59.73
1985,60.86
1986,58.93
1987,64.25
1988,61.2
1989,60.07
1990,61.83
1991,63.22
1992,64.47
1993,66.44
1994,61.99
1995,58.93
1996,59.13
1997,63.15
1998,65
1999,61.42
2000,57.39
2001,57.76
2002,63.55
2003,65.19
2004,62.07
2005,60.79
2006,61.75
2007,60.27
2008,60.02
2009,63.33
2010,62.35
2011,59.8
2012,59.6
2013,57.16
2014,57.92
2015,59.53
2016,59.09
2017,57.53
2018,54.28
2019,58.08
2020,57.95
2021,52.71
2022,59.5
2023,57.53
2024,63
